GeneID	GeneSymb	Alias	Links	Cytoband	Description
3417	IDH1	HEL-216|HEL-S-26|IDCD|IDH|IDP|IDPC|PICD	HGNC:5382|MIM:147700|Ensembl:ENSG00000138413|HPRD:00984|Vega:OTTHUMG00000132943	2q33.3	isocitrate dehydrogenase 1 (NADP+), soluble
3486	IGFBP3	BP-53|IBP3	HGNC:5472|MIM:146732|Ensembl:ENSG00000146674|HPRD:00899|Vega:OTTHUMG00000023769	7p13-p12	insulin-like growth factor binding protein 3
3491	CYR61	CCN1|GIG1|IGFBP10	HGNC:2654|MIM:602369|Ensembl:ENSG00000142871|HPRD:09089|Vega:OTTHUMG00000010577	1p22.3	cysteine-rich, angiogenic inducer, 61
351	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2	HGNC:620|MIM:104760|Ensembl:ENSG00000142192|HPRD:00100|Vega:OTTHUMG00000078438	21q21.3	amyloid beta (A4) precursor protein
3667	IRS1	HIRS-1	HGNC:6125|MIM:147545|Ensembl:ENSG00000169047|HPRD:00943|Vega:OTTHUMG00000133179	2q36	insulin receptor substrate 1
3673	ITGA2	BR|CD49B|GPIa|HPA-5|VLA-2|VLAA2	HGNC:6137|MIM:192974|Ensembl:ENSG00000164171|HPRD:01893|Vega:OTTHUMG00000131165	5q11.2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)
3688	ITGB1	CD29|FNRB|GPIIA|MDF2|MSK12|VLA-BETA|VLAB	HGNC:6153|MIM:135630|Ensembl:ENSG00000150093|HPRD:00628|Vega:OTTHUMG00000017928	10p11.2	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)
3728	JUP	ARVD12|CTNNG|DP3|DPIII|PDGB|PKGB	HGNC:6207|MIM:173325|Ensembl:ENSG00000173801|HPRD:01414|Vega:OTTHUMG00000133494	17q21	junction plakoglobin
3732	CD82	4F9|C33|GR15|IA4|KAI1|R2|SAR2|ST6|TSPAN27	HGNC:6210|MIM:600623|HPRD:09004	11p11.2	CD82 molecule
3814	KISS1	HH13|KiSS-1	HGNC:6341|MIM:603286|Ensembl:ENSG00000170498|HPRD:04475|Vega:OTTHUMG00000036060	1q32	KiSS-1 metastasis-suppressor
389816	LRRC26	CAPC|bA350O14.10	HGNC:31409|MIM:613505|Ensembl:ENSG00000184709|HPRD:18397|Vega:OTTHUMG00000020980	9q34.3	leucine rich repeat containing 26
390	RND3	ARHE|Rho8|RhoE|memB	HGNC:671|MIM:602924|Ensembl:ENSG00000115963|HPRD:04233|Vega:OTTHUMG00000131859	2q23.3	Rho family GTPase 3
3934	LCN2	24p3|MSFI|NGAL	HGNC:6526|MIM:600181|Ensembl:ENSG00000148346|HPRD:02551|Vega:OTTHUMG00000020734	9q34	lipocalin 2
396	ARHGDIA	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	HGNC:678|MIM:601925|Ensembl:ENSG00000141522|HPRD:03565|Vega:OTTHUMG00000178352	17q25.3	Rho GDP dissociation inhibitor (GDI) alpha
3965	LGALS9	HUAT|LGALS9A	HGNC:6570|MIM:601879|HPRD:03528	17q11.2	lectin, galactoside-binding, soluble, 9
397	ARHGDIB	D4|GDIA2|GDID4|LYGDI|Ly-GDI|RAP1GN1|RhoGDI2	HGNC:679|MIM:602843|Ensembl:ENSG00000111348|HPRD:04162|Vega:OTTHUMG00000168742	12p12.3	Rho GDP dissociation inhibitor (GDI) beta
3977	LIFR	CD118|LIF-R|SJS2|STWS|SWS	HGNC:6597|MIM:151443|Ensembl:ENSG00000113594|HPRD:01048|Vega:OTTHUMG00000131138	5p13-p12	leukemia inhibitory factor receptor alpha
4009	LMX1A	LMX1|LMX1.1	HGNC:6653|MIM:600298|Ensembl:ENSG00000162761|HPRD:02623|Vega:OTTHUMG00000034575	1q24.1	LIM homeobox transcription factor 1, alpha
406881	MIRLET7A1	LET7A1|MIRNLET7A1|let-7a-1	HGNC:31476|MIM:605386|Ensembl:ENSG00000199165|miRBase:MI0000060	9q22.32	microRNA let-7a-1
406885	MIRLET7C	LET7C|MIRNLET7C|hsa-let-7c|let-7c	HGNC:31480|MIM:612144|Ensembl:ENSG00000199030|miRBase:MI0000064	21q21.1	microRNA let-7c
406902	MIR10A	MIRN10A|hsa-mir-10a|miRNA10A|mir-10a	HGNC:31497|MIM:610173|Ensembl:ENSG00000257178|miRBase:MI0000266	17q21.32	microRNA 10a
406907	MIR124-1	MIR124A|MIR124A1|MIRN124-1|MIRN124A1	HGNC:31502|MIM:609327|Ensembl:ENSG00000253230|miRBase:MI0000443	8p23.1	microRNA 124-1
406913	MIR126	MIRN126|miRNA126	HGNC:31508|MIM:611767|miRBase:MI0000471	9q34.3	microRNA 126
406924	MIR134	MIRN134	HGNC:31519|MIM:610164|miRBase:MI0000474	14q32.31	microRNA 134
406928	MIR137	MIRN137|miR-137	HGNC:31523|MIM:614304|Ensembl:ENSG00000225206|miRBase:MI0000454	1p21.3	microRNA 137
406931	MIR139	MIR139-3p|MIRN139	HGNC:31526|MIM:615017|miRBase:MI0000261	11q13.4	microRNA 139
406932	MIR140	MIRN140|miRNA140	HGNC:31527|MIM:611894|miRBase:MI0000456	16q22.1	microRNA 140
406938	MIR146A	MIRN146|MIRN146A|miR-146a|miRNA146A	HGNC:31533|MIM:610566|Ensembl:ENSG00000253522|miRBase:MI0000477	5q34	microRNA 146a
406940	MIR148A	MIRN148|MIRN148A|hsa-mir-148	HGNC:31535|MIM:613786|Ensembl:ENSG00000199085|miRBase:MI0000253	7p15.2	microRNA 148a
406947	MIR155	MIRN155|miRNA155	HGNC:31542|MIM:609337|Ensembl:ENSG00000234883|miRBase:MI0000681	21q21.3	microRNA 155
406969	MIR194-1	MIRN194-1	HGNC:31564|MIM:610940|Ensembl:ENSG00000207624|miRBase:MI0000488	1q41	microRNA 194-1
406970	MIR194-2	MIRN194-2	HGNC:31565|MIM:610941|Ensembl:ENSG00000229719|miRBase:MI0000732	11q13.1	microRNA 194-2
406971	MIR195	MIRN195|miRNA195	HGNC:31566|MIM:610718|Ensembl:ENSG00000267532|miRBase:MI0000489	17p13.1	microRNA 195
406983	MIR200A	MIRN200A	HGNC:31578|MIM:612090|Ensembl:ENSG00000207607|miRBase:MI0000737	1p36.33	microRNA 200a
406984	MIR200B	MIRN200B	HGNC:31579|MIM:612091|Ensembl:ENSG00000207730|miRBase:MI0000342	1p36.33	microRNA 200b
406988	MIR205	MIRN205	HGNC:31583|MIM:613147|miRBase:MI0000285	1q32.2	microRNA 205
407026	MIR29C	MIRN29C|miRNA29C	HGNC:31621|MIM:610784|Ensembl:ENSG00000203709|miRBase:MI0000735	1q32.2	microRNA 29c
407029	MIR30A	MIRN30A	HGNC:31624|MIM:612329|Ensembl:ENSG00000207827|miRBase:MI0000088	6q13	microRNA 30a
407035	MIR31	MIRN31|hsa-mir-31|miR-31	HGNC:31630|MIM:612155|Ensembl:ENSG00000199177|miRBase:MI0000089	9p21.3	microRNA 31
407039	MIR33A	MIR33|MIRN33|MIRN33A|hsa-mir-33|hsa-mir-33a|miR-33|miRNA33A	HGNC:31634|MIM:612156|miRBase:MI0000091	22q13.2	microRNA 33a
407040	MIR34A	MIRN34A|miRNA34A|mir-34	HGNC:31635|MIM:611172|Ensembl:ENSG00000207865|miRBase:MI0000268	1p36.22|1p36.22	microRNA 34a
407041	MIR34B	MIRN34B|miRNA34B	HGNC:31636|MIM:611374|Ensembl:ENSG00000207811|miRBase:MI0000742	11q23.1	microRNA 34b
407043	MIR7-1	MIRN7-1|hsa-mir-7-1|mir-7-1	HGNC:31638|MIM:615239|miRBase:MI0000263	9q21.32	microRNA 7-1
407046	MIR9-1	MIRN9-1|hsa-mir-9-1|miRNA9-1	HGNC:31641|MIM:611186|miRBase:MI0000466	1q22	microRNA 9-1
407047	MIR9-2	MIRN9-2|hsa-mir-9-2|miRNA9-2	HGNC:31642|MIM:611187|Ensembl:ENSG00000245526|miRBase:MI0000467	5q14.3	microRNA 9-2
407055	MIR99A	MIRN99A	HGNC:31650|MIM:614509|Ensembl:ENSG00000207638|miRBase:MI0000101	21q21.1	microRNA 99a
4089	SMAD4	DPC4|JIP|MADH4|MYHRS	HGNC:6770|MIM:600993|Ensembl:ENSG00000141646|HPRD:02995|Vega:OTTHUMG00000132696	18q21.1	SMAD family member 4
4118	MAL	-	HGNC:6817|MIM:188860|Ensembl:ENSG00000172005|HPRD:01789|Vega:OTTHUMG00000132011	2q11.1	mal, T-cell differentiation protein
4303	FOXO4	AFX|AFX1|MLLT7	HGNC:7139|MIM:300033|Ensembl:ENSG00000184481|HPRD:02070|Vega:OTTHUMG00000021789	Xq13.1	forkhead box O4
4308	TRPM1	CSNB1C|LTRPC1|MLSN1	HGNC:7146|MIM:603576|Ensembl:ENSG00000134160|HPRD:04656|Vega:OTTHUMG00000129267	15q13.3	transient receptor potential cation channel, subfamily M, member 1
4317	MMP8	CLG1|HNC|MMP-8|PMNL-CL	HGNC:7175|MIM:120355|Ensembl:ENSG00000118113|HPRD:00385|Vega:OTTHUMG00000167587	11q22.3	matrix metallopeptidase 8 (neutrophil collagenase)
442890	MIR133B	MIRN133B|miRNA133B|mir-133b	HGNC:31759|MIM:610946|Ensembl:ENSG00000199080|miRBase:MI0000822	6p12.2	microRNA 133b
442893	MIR151A	MIR151|MIRN151|hsa-mir-151|hsa-mir-151a	HGNC:31762|miRBase:MI0000809	-	microRNA 151a
442904	MIR335	MIRN335|hsa-mir-335|miRNA335	HGNC:31773|MIM:611768|miRBase:MI0000816	7q32.2	microRNA 335
4482	MSRA	PMSR	HGNC:7377|MIM:601250|Ensembl:ENSG00000175806|HPRD:03152|Vega:OTTHUMG00000090517	8p23.1	methionine sulfoxide reductase A
4733	DRG1	NEDD3	HGNC:3029|MIM:603952|Ensembl:ENSG00000185721|HPRD:16034|Vega:OTTHUMG00000030792	22q12.2	developmentally regulated GTP binding protein 1
4758	NEU1	NANH|NEU|SIAL1	HGNC:7758|MIM:608272|Ensembl:ENSG00000204386|HPRD:09751|Vega:OTTHUMG00000031284	6p21.3	sialidase 1 (lysosomal sialidase)
4804	NGFR	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	HGNC:7809|MIM:162010|Ensembl:ENSG00000064300|HPRD:01197|Vega:OTTHUMG00000161495	17q21-q22	nerve growth factor receptor
4830	NME1	AWD|GAAD|NB|NBS|NDKA|NDPK-A|NDPKA|NM23|NM23-H1	HGNC:7849|MIM:156490|Ensembl:ENSG00000239672|HPRD:01131|Vega:OTTHUMG00000137474	17q21.3	NME/NM23 nucleoside diphosphate kinase 1
4831	NME2	NDKB|NDPK-B|NDPKB|NM23-H2|NM23B|PUF	HGNC:7850|MIM:156491|Ensembl:ENSG00000011052|Ensembl:ENSG00000243678|HPRD:01132|Vega:OTTHUMG00000154062	17q21.3	NME/NM23 nucleoside diphosphate kinase 2
4832	NME3	DR-nm23|NDPK-C|NDPKC|NM23-H3|NM23H3|c371H6.2	HGNC:7851|MIM:601817|Ensembl:ENSG00000103024|HPRD:03488|Vega:OTTHUMG00000128635	16q13.3	NME/NM23 nucleoside diphosphate kinase 3
4843	NOS2	HEP-NOS|INOS|NOS|NOS2A	HGNC:7873|MIM:163730|Ensembl:ENSG00000007171|HPRD:01225|Vega:OTTHUMG00000132445	17q11.2	nitric oxide synthase 2, inducible
4923	NTSR1	NTR	HGNC:8039|MIM:162651|Ensembl:ENSG00000101188|HPRD:01218|Vega:OTTHUMG00000032932	20q13	neurotensin receptor 1 (high affinity)
5037	PEBP1	HCNP|HCNPpp|HEL-210|HEL-S-34|PBP|PEBP|PEBP-1|RKIP	HGNC:8630|MIM:604591|Ensembl:ENSG00000089220|HPRD:06850|Vega:OTTHUMG00000168860	12q24.23	phosphatidylethanolamine binding protein 1
5079	PAX5	ALL3|BSAP	HGNC:8619|MIM:167414|Ensembl:ENSG00000196092|HPRD:01334|Vega:OTTHUMG00000019907	9p13	paired box 5
51201	ZDHHC2	DHHC2|ZNF372	HGNC:18469|HPRD:15715	8p22	zinc finger, DHHC-type containing 2
51474	LIMA1	EPLIN|SREBP3	HGNC:24636|MIM:608364|Ensembl:ENSG00000050405|HPRD:09755|Vega:OTTHUMG00000169852	12q13	LIM domain and actin binding 1
51754	TMEM8B	C9orf127|NAG-5|NGX6	HGNC:21427|Ensembl:ENSG00000137103|HPRD:16674|Vega:OTTHUMG00000019885	9p13.3	transmembrane protein 8B
5176	SERPINF1	EPC-1|OI12|OI6|PEDF	HGNC:8824|MIM:172860|Ensembl:ENSG00000132386|HPRD:01408|Vega:OTTHUMG00000090571	17p13.3	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1
5216	PFN1	ALS18	HGNC:8881|MIM:176610|Ensembl:ENSG00000108518|HPRD:01452|Vega:OTTHUMG00000099396	17p13.3	profilin 1
5268	SERPINB5	PI5|maspin	HGNC:8949|MIM:154790|Ensembl:ENSG00000206075|HPRD:01111|Vega:OTTHUMG00000141307	18q21.33	serpin peptidase inhibitor, clade B (ovalbumin), member 5
5310	PKD1	PBP|Pc-1|TRPP1	HGNC:9008|MIM:601313|Ensembl:ENSG00000008710|HPRD:03203|Vega:OTTHUMG00000155795	16p13.3	polycystic kidney disease 1 (autosomal dominant)
5320	PLA2G2A	MOM1|PLA2|PLA2B|PLA2L|PLA2S|PLAS1|sPLA2	HGNC:9031|MIM:172411|Ensembl:ENSG00000188257|HPRD:01397|Vega:OTTHUMG00000002699	1p35	phospholipase A2, group IIA (platelets, synovial fluid)
5340	PLG	-	HGNC:9071|MIM:173350|Ensembl:ENSG00000122194|HPRD:01417|Vega:OTTHUMG00000015957	6q26	plasminogen
54904	WHSC1L1	NSD3|pp14328	HGNC:12767|MIM:607083|Ensembl:ENSG00000147548|HPRD:06155|Vega:OTTHUMG00000165115	8p11.2	Wolf-Hirschhorn syndrome candidate 1-like 1
55893	ZNF395	HDBP-2|HDBP2|HDRF-2|PBF|PRF-1|PRF1|Si-1-8-14	HGNC:18737|MIM:609494|Ensembl:ENSG00000186918|HPRD:11711|Vega:OTTHUMG00000102137	8p21.1	zinc finger protein 395
5654	HTRA1	ARMD7|CARASIL|HtrA|L56|ORF480|PRSS11	HGNC:9476|MIM:602194|Ensembl:ENSG00000166033|HPRD:03725|Vega:OTTHUMG00000019186	10q26.3	HtrA serine peptidase 1
56888	KCMF1	DEBT91|FIGC|PCMF|ZZZ1	HGNC:20589|MIM:614719|Ensembl:ENSG00000176407|HPRD:13761|Vega:OTTHUMG00000153004	2p11.2	potassium channel modulatory factor 1
5728	PTEN	10q23del|BZS|CWS1|DEC|GLM2|MHAM|MMAC1|PTEN1|TEP1	HGNC:9588|MIM:601728|HPRD:03431	10q23.3	phosphatase and tensin homolog
5731	PTGER1	EP1	HGNC:9593|MIM:176802|Ensembl:ENSG00000160951|HPRD:08903|Vega:OTTHUMG00000039610	19p13.1	prostaglandin E receptor 1 (subtype EP1), 42kDa
5733	PTGER3	EP3|EP3-I|EP3-II|EP3-III|EP3-IV|EP3e|PGE2-R	HGNC:9595|MIM:176806|Ensembl:ENSG00000050628|HPRD:08906|Vega:OTTHUMG00000009399	1p31.2	prostaglandin E receptor 3 (subtype EP3)
574411	MIR451A	MIR451|MIRN451|hsa-mir-451|hsa-mir-451a	HGNC:32053|MIM:612071|Ensembl:ENSG00000264066|miRBase:MI0001729	17q11.2	microRNA 451a
574447	MIR146B	MIRN146B|miRNA146B	HGNC:32079|MIM:610567|Ensembl:ENSG00000202569|miRBase:MI0003129	10q24.32	microRNA 146b
57447	NDRG2	SYLD	HGNC:14460|MIM:605272|Ensembl:ENSG00000165795|HPRD:17630|Vega:OTTHUMG00000029619	14q11.2	NDRG family member 2
5920	RARRES3	HRASLS4|HRSL4|PLA1/2-3|RIG1|TIG3	HGNC:9869|MIM:605092|Ensembl:ENSG00000133321|HPRD:05479|Vega:OTTHUMG00000167850	11q23	retinoic acid receptor responder (tazarotene induced) 3
59343	SENP2	AXAM2|SMT3IP2	HGNC:23116|MIM:608261|HPRD:07002	3q27.2	SUMO1/sentrin/SMT3 specific peptidase 2
6050	RNH1	RAI|RNH	HGNC:10074|MIM:173320|Ensembl:ENSG00000023191|HPRD:01412|Vega:OTTHUMG00000119086	11p15.5	ribonuclease/angiogenin inhibitor 1
6240	RRM1	R1|RIR1|RR1	HGNC:10451|MIM:180410|Ensembl:ENSG00000167325|HPRD:01588|Vega:OTTHUMG00000133361	11p15.5	ribonucleotide reductase M1
6405	SEMA3F	SEMA-IV|SEMA4|SEMAK	HGNC:10728|MIM:601124|Ensembl:ENSG00000001617|HPRD:03079|Vega:OTTHUMG00000156806	3p21.3	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
