cog_id,root,clade_name,string_id,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis suppressor,bp_count
NOG09769,17,Sauropsida,ENSP00000283285,CD96,0,0,1,0,0,0,0,1
NOG58417,17,Sauropsida,ENSP00000369581,IFNB1,0,0,1,0,0,0,0,1
NOG231450,17,Sauropsida,ENSP00000228534,IL23A,0,0,1,0,0,0,0,1
NOG271637,17,Sauropsida,ENSP00000357722,S100A8,0,0,1,0,0,0,0,1
NOG271637,17,Sauropsida,ENSP00000357727,S100A9,0,0,1,0,0,0,0,1
NOG23480,17,Sauropsida,ENSP00000470788,IL12RB1,0,0,1,0,0,0,0,1
NOG246954,17,Sauropsida,ENSP00000335062,PDCD1,0,0,1,0,0,0,0,1
NOG16609,17,Sauropsida,ENSP00000355361,CD47,0,0,1,0,0,0,0,1
NOG23429,17,Sauropsida,ENSP00000367817,PODXL,0,0,1,0,0,0,0,1
NOG28166,17,Sauropsida,ENSP00000264246,CD80,0,0,1,0,0,0,0,1
NOG15898,18,Amphibia,ENSP00000315997,LILRB1,0,0,1,0,0,0,0,1
NOG15898,18,Amphibia,ENSP00000375616,LILRB4,0,0,1,0,0,0,0,1
NOG15898,18,Amphibia,ENSP00000375629,LILRB2,0,0,1,0,0,0,0,1
NOG15898,18,Amphibia,ENSP00000439454,TARM1,0,0,1,0,0,0,0,1
NOG259342,18,Amphibia,ENSP00000343129,TRIM29,0,0,1,0,0,0,0,1
NOG245543,18,Amphibia,ENSP00000398890,HLA-DMB,0,0,1,0,0,0,0,1
NOG61523,18,Amphibia,ENSP00000329991,IFNL1,0,0,1,0,0,0,0,1
NOG24221,19,Coelacanthimorpha,ENSP00000312021,FUT1,0,0,1,0,0,0,0,1
NOG258877,19,Coelacanthimorpha,ENSP00000378431,MMRN1,0,0,1,0,0,0,0,1
NOG18085,19,Coelacanthimorpha,ENSP00000231228,IL12B,0,0,1,0,0,0,0,1
NOG28618,19,Coelacanthimorpha,ENSP00000312652,LEP,0,0,1,0,0,0,0,1
NOG269868,19,Coelacanthimorpha,ENSP00000411788,GPR35,0,0,1,0,0,0,0,1
NOG256826,20,Actinopterygii,ENSP00000256178,LYVE1,1,0,0,0,0,0,0,1
NOG256826,20,Actinopterygii,ENSP00000398632,CD44,0,0,1,0,0,0,1,1
NOG31937,20,Actinopterygii,ENSP00000353259,CD300A,0,0,1,0,0,0,0,1
NOG269657,20,Actinopterygii,ENSP00000331746,CALCA,0,0,1,0,0,0,0,1
NOG270365,20,Actinopterygii,ENSP00000247470,PYCARD,0,0,1,0,0,0,0,1
NOG26156,20,Actinopterygii,ENSP00000312002,HAVCR2,0,0,1,0,0,0,0,1
NOG05346,20,Actinopterygii,ENSP00000299952,MARVELD3,0,1,0,0,0,0,0,1
NOG08294,20,Actinopterygii,ENSP00000367433,AJAP1,0,0,1,0,0,0,0,1
NOG18533,20,Actinopterygii,ENSP00000303939,CTLA4,0,0,1,0,0,0,0,1
NOG18533,20,Actinopterygii,ENSP00000324890,CD28,0,0,1,0,0,0,0,1
NOG09317,20,Actinopterygii,ENSP00000378409,VSIR,0,0,1,0,0,0,0,1
NOG230762,20,Actinopterygii,ENSP00000347379,OCLN,0,1,0,0,0,0,0,1
NOG63872,20,Actinopterygii,ENSP00000259206,IL1RN,0,0,1,0,0,0,0,1
NOG02018,20,Actinopterygii,ENSP00000335320,BCL9L,0,0,0,0,1,0,0,1
NOG06777,20,Actinopterygii,ENSP00000353462,CASS4,0,0,1,0,0,0,0,1
NOG25139,20,Actinopterygii,ENSP00000320084,CD276,0,0,1,0,0,0,0,1
NOG25139,20,Actinopterygii,ENSP00000350402,HHLA2,0,0,1,0,0,0,0,1
NOG25139,20,Actinopterygii,ENSP00000358470,VTCN1,0,0,1,0,0,0,0,1
NOG15725,20,Actinopterygii,ENSP00000353099,HLA-DRB1,0,0,1,0,0,0,0,1
NOG15725,20,Actinopterygii,ENSP00000408146,HLA-DPB1,0,0,1,0,0,0,0,1
NOG07616,20,Actinopterygii,ENSP00000371420,GPNMB,0,0,1,0,0,0,0,1
NOG03983,20,Actinopterygii,ENSP00000271417,ILDR2,0,0,1,0,0,0,0,1
NOG258221,20,Actinopterygii,ENSP00000359521,SLITRK2,0,1,0,0,0,0,0,1
NOG248765,20,Actinopterygii,ENSP00000321345,IL23R,0,0,1,0,0,0,0,1
NOG07053,20,Actinopterygii,ENSP00000373487,KRT18,0,0,1,0,0,0,0,1
NOG22019,20,Actinopterygii,ENSP00000361818,SDC4,0,0,1,0,0,0,0,1
NOG02920,20,Actinopterygii,ENSP00000262345,IL12RB2,0,0,1,0,0,0,0,1
NOG11150,20,Actinopterygii,ENSP00000295522,CLDN1,0,1,0,0,0,0,1,1
NOG232117,20,Actinopterygii,ENSP00000338345,SNCA,0,1,0,0,0,0,0,1
NOG15005,20,Actinopterygii,ENSP00000378786,HLA-DRA,0,0,1,0,0,0,0,1
NOG15005,20,Actinopterygii,ENSP00000393566,HLA-DPA1,0,0,1,0,0,0,0,1
NOG14493,20,Actinopterygii,ENSP00000199764,CEACAM6,0,0,1,0,0,0,0,1
NOG266535,20,Actinopterygii,ENSP00000365817,HLA-E,0,0,1,0,0,0,0,1
NOG266535,20,Actinopterygii,ENSP00000379873,HLA-A,0,0,1,0,0,0,0,1
NOG266535,20,Actinopterygii,ENSP00000412927,HLA-G,0,0,1,0,0,0,0,1
NOG19558,20,Actinopterygii,ENSP00000352540,EMP2,0,0,1,0,0,0,0,1
NOG30694,20,Actinopterygii,ENSP00000271638,S100A11,0,0,1,0,0,0,0,1
NOG10082,20,Actinopterygii,ENSP00000364683,BAMBI,0,0,0,0,1,0,0,1
NOG08512,20,Actinopterygii,ENSP00000263735,EPCAM,0,0,1,0,0,0,0,1
NOG07743,20,Actinopterygii,ENSP00000254528,EMILIN2,0,0,1,0,0,0,0,1
NOG07743,20,Actinopterygii,ENSP00000369677,EMILIN1,0,0,1,0,0,0,0,1
NOG22308,20,Actinopterygii,ENSP00000370989,CD274,0,0,1,0,0,0,0,1
NOG22308,20,Actinopterygii,ENSP00000380855,PDCD1LG2,0,0,1,0,0,0,0,1
NOG29134,20,Actinopterygii,ENSP00000253796,RAMP2,0,1,0,0,0,0,0,1
NOG04826,20,Actinopterygii,ENSP00000384273,RELA,0,0,1,0,0,0,0,1
NOG21851,20,Actinopterygii,ENSP00000252590,PLVAP,1,0,0,0,0,0,0,1
NOG03742,20,Actinopterygii,ENSP00000236850,APOA1,0,0,1,0,0,0,0,1
NOG03742,20,Actinopterygii,ENSP00000350425,APOA4,0,0,1,0,0,0,0,1
NOG06313,20,Actinopterygii,ENSP00000269394,ZNF750,0,0,0,0,1,0,0,1
NOG02504,20,Actinopterygii,ENSP00000362095,SRPX2,0,1,0,0,0,0,0,1
NOG22260,20,Actinopterygii,ENSP00000305529,SIRPG,0,0,1,0,0,0,0,1
NOG22260,20,Actinopterygii,ENSP00000382941,SIRPA,0,0,1,0,0,0,0,1
NOG02267,20,Actinopterygii,ENSP00000296677,F2RL1,0,1,0,0,0,0,0,1
NOG16413,20,Actinopterygii,ENSP00000391490,AGR2,0,0,1,0,0,0,0,1
NOG23958,20,Actinopterygii,ENSP00000330382,PDGFB,0,0,1,0,0,0,0,1
NOG10229,20,Actinopterygii,ENSP00000420091,SLITRK3,0,1,0,0,0,0,0,1
NOG05335,20,Actinopterygii,ENSP00000366288,SLITRK1,0,1,0,0,0,0,0,1
NOG03043,20,Actinopterygii,ENSP00000262753,POF1B,0,1,0,0,0,0,0,1
NOG11666,20,Actinopterygii,ENSP00000302665,IGF1,0,0,1,0,0,0,0,1
NOG11666,20,Actinopterygii,ENSP00000391826,IGF2,0,0,1,0,0,0,0,1
NOG18285,20,Actinopterygii,ENSP00000160262,ICAM3,0,0,1,0,0,0,0,1
NOG18285,20,Actinopterygii,ENSP00000221980,ICAM5,0,0,1,0,0,0,0,1
NOG18285,20,Actinopterygii,ENSP00000342114,ICAM4,0,0,1,0,0,0,0,1
NOG18285,20,Actinopterygii,ENSP00000415283,ICAM2,0,0,1,0,0,0,1,1
NOG270127,20,Actinopterygii,ENSP00000461433,MCRIP1,0,0,0,0,1,0,0,1
NOG271296,20,Actinopterygii,ENSP00000474412,CCL5,0,0,1,0,0,0,0,1
NOG259005,20,Actinopterygii,ENSP00000323280,CD6,0,0,1,0,0,0,0,1
NOG33424,20,Actinopterygii,ENSP00000354566,CD3E,0,0,1,0,0,0,0,1
NOG23311,20,Actinopterygii,ENSP00000203629,LAG3,0,0,1,0,0,0,0,1
NOG277541,20,Actinopterygii,ENSP00000348635,JAML,1,0,0,0,0,0,0,1
NOG258820,20,Actinopterygii,ENSP00000321326,F2R,0,1,0,0,0,0,0,1
NOG15115,20,Actinopterygii,ENSP00000357470,IL6R,0,0,1,0,0,0,0,1
NOG272242,20,Actinopterygii,ENSP00000381448,CST3,0,0,0,1,0,0,0,1
NOG00180,20,Actinopterygii,ENSP00000484715,SRCIN1,0,0,1,0,0,0,0,1
NOG21561,20,Actinopterygii,ENSP00000265016,BST1,0,0,1,0,0,0,0,1
NOG17118,21,Tunicata,ENSP00000249014,CDC42EP1,0,0,1,0,0,0,0,1
NOG09962,21,Tunicata,ENSP00000264025,NECTIN1,0,0,1,0,0,0,0,1
NOG07478,21,Tunicata,ENSP00000348521,GJB6,0,1,0,0,0,0,0,1
NOG07478,21,Tunicata,ENSP00000372295,GJB2,0,1,0,0,0,0,0,1
NOG07478,21,Tunicata,ENSP00000463752,GJD3,0,1,0,0,0,0,0,1
NOG07478,21,Tunicata,ENSP00000484552,GJA5,0,1,0,0,0,0,0,1
NOG06205,21,Tunicata,ENSP00000482304,ZP4,0,0,1,0,0,0,0,1
NOG01502,21,Tunicata,ENSP00000274000,AP1AR,0,0,1,0,0,0,0,1
NOG03800,21,Tunicata,ENSP00000064724,CLDN11,0,1,0,0,0,0,0,1
NOG09907,21,Tunicata,ENSP00000233809,IGFBP2,0,0,1,0,0,0,0,1
NOG08226,21,Tunicata,ENSP00000320794,USF3,0,0,0,0,1,0,0,1
NOG04884,21,Tunicata,ENSP00000379438,UMOD,0,0,1,0,0,0,0,1
NOG03763,21,Tunicata,ENSP00000296387,CLDN19,0,0,1,0,0,0,0,1
NOG03763,21,Tunicata,ENSP00000385477,CLDN5,0,1,0,0,0,0,0,1
NOG259335,21,Tunicata,ENSP00000270233,BCAM,0,0,1,0,0,0,0,1
NOG10066,22,Cephalochordata,ENSP00000370698,IL6ST,0,0,1,0,0,0,0,1
NOG258688,22,Cephalochordata,ENSP00000340864,C1QTNF1,0,0,1,0,0,0,0,1
NOG03212,22,Cephalochordata,ENSP00000352420,LDLRAD4,0,0,0,0,1,0,0,1
NOG00253,22,Cephalochordata,ENSP00000366058,SYNDIG1,0,1,0,0,0,0,0,1
NOG06845,22,Cephalochordata,ENSP00000005260,BAIAP2L1,0,0,1,0,0,0,0,1
NOG06845,22,Cephalochordata,ENSP00000316338,BAIAP2,0,0,1,0,0,0,0,1
NOG09784,23,Ambulacraria,ENSP00000212355,TGFBR3,0,0,0,1,0,0,0,1
NOG10822,23,Ambulacraria,ENSP00000414303,BDNF,0,1,0,0,0,0,0,1
NOG00382,23,Ambulacraria,ENSP00000346839,FN1,0,0,1,0,0,0,0,1
NOG04090,23,Ambulacraria,ENSP00000301945,ANTXR1,0,0,1,0,0,0,0,1
NOG04095,23,Ambulacraria,ENSP00000389814,ADIPOQ,0,0,1,0,0,0,0,1
NOG00756,23,Ambulacraria,ENSP00000381775,TNFSF11,0,0,1,0,0,0,0,1
NOG00756,23,Ambulacraria,ENSP00000469049,TNFSF14,0,0,1,0,0,0,0,1
NOG246177,23,Ambulacraria,ENSP00000317891,TNIP1,0,0,1,0,0,0,0,1
NOG05445,23,Ambulacraria,ENSP00000300404,B4GALNT2,0,0,1,0,0,0,0,1
NOG04410,23,Ambulacraria,ENSP00000377895,FBXO38,0,0,1,0,0,0,0,1
NOG08024,23,Ambulacraria,ENSP00000338171,SKAP1,0,0,1,0,0,0,0,1
NOG04735,23,Ambulacraria,ENSP00000482228,PLEKHA2,0,0,1,0,0,0,0,1
NOG257892,23,Ambulacraria,ENSP00000482957,RIPOR2,0,0,1,0,0,0,0,1
NOG257948,23,Ambulacraria,ENSP00000359385,GLMN,0,0,1,0,0,0,0,1
NOG01637,23,Ambulacraria,ENSP00000384262,HPSE,0,0,1,0,0,0,0,1
KOG3858,24,Ecdysozoa,ENSP00000245323,EFNB2,0,0,1,0,0,0,0,1
KOG3858,24,Ecdysozoa,ENSP00000357392,EFNA1,0,0,1,0,0,0,0,1
NOG06801,24,Ecdysozoa,ENSP00000339191,CAV1,0,0,1,0,0,0,0,1
KOG3545,24,Ecdysozoa,ENSP00000219022,OLFM4,0,0,1,0,0,0,1,1
KOG4807,24,Ecdysozoa,ENSP00000384312,TRIOBP,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000306099,FGB,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000306361,FGA,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000336829,FGG,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000360170,ANGPTL3,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000366015,ANGPTL7,0,0,0,1,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000378957,MFAP4,0,0,0,1,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000381133,FGL1,0,0,1,0,0,0,0,1
KOG2579,24,Ecdysozoa,ENSP00000407685,TNXB,0,0,0,1,0,0,0,1
NOG02485,24,Ecdysozoa,ENSP00000262120,TWSG1,0,0,1,0,0,0,0,1
NOG20771,24,Ecdysozoa,ENSP00000364595,NINJ1,0,0,1,0,0,0,0,1
KOG4242,24,Ecdysozoa,ENSP00000331983,CARMIL1,0,0,1,0,0,0,0,1
KOG4242,24,Ecdysozoa,ENSP00000334958,CARMIL2,0,0,0,1,0,0,0,1
NOG239425,25,Spiralia,ENSP00000259526,CCN3,0,0,1,0,0,0,0,1
KOG4217,25,Spiralia,ENSP00000482027,NR4A3,0,0,1,0,0,0,0,1
NOG239366,25,Spiralia,ENSP00000367227,TMEM8B,0,0,1,0,0,0,1,1
NOG03588,25,Spiralia,ENSP00000340900,MIA3,0,0,1,0,0,0,0,1
NOG04453,26,Cnidaria,ENSP00000457593,NFAT5,0,0,1,0,0,0,0,1
KOG4447,26,Cnidaria,ENSP00000242261,TWIST1,0,0,0,0,1,0,1,1
KOG4566,26,Cnidaria,ENSP00000329418,SOCS1,0,0,1,0,0,0,0,1
NOG246478,26,Cnidaria,ENSP00000344967,SPRY4,0,0,1,0,0,0,0,1
NOG238675,26,Cnidaria,ENSP00000324292,FBF1,0,1,0,0,0,0,0,1
NOG04524,26,Cnidaria,ENSP00000264094,LOXL3,0,0,1,0,0,0,0,1
KOG3587,27,Placozoa,ENSP00000215909,LGALS1,0,0,1,0,0,0,0,1
KOG3587,27,Placozoa,ENSP00000254301,LGALS3,0,0,1,0,0,0,0,1
KOG3587,27,Placozoa,ENSP00000378856,LGALS9,0,0,1,0,0,0,1,1
KOG3555,27,Placozoa,ENSP00000378401,SPOCK1,0,0,1,0,0,0,0,1
KOG2462,28,Porifera,ENSP00000380034,SNAI2,0,1,0,0,0,0,0,1
KOG4796,28,Porifera,ENSP00000323264,MARVELD2,0,1,0,0,0,0,0,1
KOG3516,28,Porifera,ENSP00000264638,CNTNAP1,0,1,0,0,0,0,0,1
KOG3516,28,Porifera,ENSP00000354778,CNTNAP2,0,1,0,0,0,0,0,1
KOG1052,28,Porifera,ENSP00000282020,GRID2,0,1,0,0,0,0,0,1
KOG3512,28,Porifera,ENSP00000359085,NTNG1,0,0,1,0,0,0,0,1
KOG4745,28,Porifera,ENSP00000218388,TIMP1,0,0,0,0,0,1,1,1
KOG4745,28,Porifera,ENSP00000262768,TIMP2,0,0,0,0,0,1,1,1
NOG239279,28,Porifera,ENSP00000367398,NPHP4,0,1,0,0,0,0,0,1
KOG3676,28,Porifera,ENSP00000406191,TRPV4,0,0,1,0,0,0,0,1
NOG06300,28,Porifera,ENSP00000313169,NPHP1,0,1,0,0,0,0,0,1
KOG3690,28,Porifera,ENSP00000389326,ACE2,0,1,0,0,0,0,0,1
KOG1731,28,Porifera,ENSP00000356574,QSOX1,0,0,0,1,0,0,0,1
COG4826,28,Porifera,ENSP00000223095,SERPINE1,0,0,1,0,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000238682,TGFB3,0,0,0,0,1,0,0,1
KOG3900,29,Ctenophora,ENSP00000245451,BMP4,0,0,1,0,0,0,1,1
KOG3900,29,Ctenophora,ENSP00000283147,BMP6,0,0,1,0,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000287139,NODAL,0,0,1,0,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000379204,BMP7,0,0,1,0,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000463051,GDF2,0,1,0,0,0,0,0,1
KOG3913,29,Ctenophora,ENSP00000284523,WNT3A,0,1,0,0,0,0,0,1
KOG3913,29,Ctenophora,ENSP00000285018,WNT7A,0,1,0,0,0,0,0,1
KOG3913,29,Ctenophora,ENSP00000293549,WNT1,0,0,1,0,0,0,0,1
KOG3701,29,Ctenophora,ENSP00000341551,SMAD4,0,0,0,1,0,0,1,1
KOG0489,29,Ctenophora,ENSP00000242159,HOXA7,0,0,1,0,0,0,0,1
KOG0489,29,Ctenophora,ENSP00000346879,NKX2-1,0,0,0,0,1,0,1,1
KOG0489,29,Ctenophora,ENSP00000386498,HOXD3,0,0,1,0,0,0,0,1
KOG3727,29,Ctenophora,ENSP00000279227,FERMT3,0,0,1,0,0,0,0,1
KOG3248,29,Ctenophora,ENSP00000265165,LEF1,0,0,0,0,1,0,0,1
KOG3248,29,Ctenophora,ENSP00000358404,TCF7L2,0,0,0,0,1,0,0,1
KOG3577,29,Ctenophora,ENSP00000220772,SFRP1,0,0,0,0,1,0,1,1
KOG3577,29,Ctenophora,ENSP00000274063,SFRP2,0,0,0,0,1,0,0,1
KOG3577,29,Ctenophora,ENSP00000286201,FZD7,0,0,1,0,0,0,0,1
KOG3577,29,Ctenophora,ENSP00000434034,FZD4,0,0,1,0,0,0,0,1
KOG3513,29,Ctenophora,ENSP00000359077,L1CAM,0,0,1,0,0,0,0,1
KOG3953,29,Ctenophora,ENSP00000457206,SPSB3,0,0,0,0,1,0,0,1
NOG258312,29,Ctenophora,ENSP00000260356,THBS1,0,0,1,0,0,0,1,1
NOG258312,29,Ctenophora,ENSP00000339730,THBS4,0,0,1,0,0,0,0,1
KOG3575,29,Ctenophora,ENSP00000254066,RARA,0,0,1,0,0,0,0,1
KOG3575,29,Ctenophora,ENSP00000287820,PPARG,0,0,0,1,0,0,0,1
KOG3575,29,Ctenophora,ENSP00000385523,PPARA,0,0,1,0,0,0,0,1
KOG3535,29,Ctenophora,ENSP00000313391,DAB2,0,0,0,0,1,0,0,1
KOG1215,29,Ctenophora,ENSP00000243077,LRP1,0,0,0,1,0,0,0,1
KOG4005,29,Ctenophora,ENSP00000216037,XBP1,0,0,1,0,0,0,0,1
KOG3806,29,Ctenophora,ENSP00000376436,ETS1,0,0,1,0,0,0,0,1
NOG01278,29,Ctenophora,ENSP00000368759,NEDD9,0,0,1,0,0,0,0,1
KOG1777,29,Ctenophora,ENSP00000384823,FBXO11,0,0,0,0,1,0,0,1
KOG4179,29,Ctenophora,ENSP00000252599,COLGALT1,0,0,0,1,0,0,0,1
KOG4024,29,Ctenophora,ENSP00000225698,C1QBP,0,0,1,0,0,0,0,1
KOG4257,30,Choanoflagellata,ENSP00000380638,PTK2B,0,0,1,0,0,0,0,1
KOG0033,30,Choanoflagellata,ENSP00000367408,CASK,0,0,1,0,0,0,0,1
KOG3510,30,Choanoflagellata,ENSP00000352138,KIRREL1,0,1,0,0,0,0,0,1
KOG3882,30,Choanoflagellata,ENSP00000263645,CD81,0,0,1,0,0,0,0,1
KOG3882,30,Choanoflagellata,ENSP00000371958,CD9,0,0,1,0,0,0,1,1
KOG3882,30,Choanoflagellata,ENSP00000447730,CD63,0,0,1,0,0,0,1,1
KOG3656,30,Choanoflagellata,ENSP00000302846,PTGER4,1,0,0,0,0,0,0,1
KOG3656,30,Choanoflagellata,ENSP00000359663,CD40LG,0,0,1,0,0,0,0,1
KOG3538,30,Choanoflagellata,ENSP00000282849,ADAMTS18,0,0,1,0,0,0,0,1
KOG3538,30,Choanoflagellata,ENSP00000422554,ADAMTS12,0,0,1,0,0,0,0,1
KOG3649,30,Choanoflagellata,ENSP00000166139,FSTL3,0,0,1,0,0,0,0,1
KOG3649,30,Choanoflagellata,ENSP00000367202,RECK,0,0,0,1,0,0,1,1
KOG3637,30,Choanoflagellata,ENSP00000007722,ITGA3,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000261023,ITGAV,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000262407,ITGA2B,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000282588,ITGA1,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000293379,ITGA5,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000296585,ITGA2,0,0,1,0,0,0,1,1
KOG3637,30,Choanoflagellata,ENSP00000327290,ITGA11,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000358310,ITGA10,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000367316,ITGA8,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000373854,ITGAD,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000386896,ITGA6,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000441691,ITGAM,0,0,1,0,0,0,0,1
KOG3637,30,Choanoflagellata,ENSP00000454623,ITGAX,0,0,1,0,0,0,0,1
KOG3631,30,Choanoflagellata,ENSP00000334008,PARVA,0,0,1,0,0,0,0,1
KOG0587,30,Choanoflagellata,ENSP00000347427,MINK1,0,0,1,0,0,0,0,1
KOG1226,30,Choanoflagellata,ENSP00000222573,ITGB8,0,0,1,0,0,0,0,1
KOG1226,30,Choanoflagellata,ENSP00000283249,ITGB6,0,0,1,0,0,0,0,1
KOG1226,30,Choanoflagellata,ENSP00000296181,ITGB5,0,0,1,0,0,0,0,1
KOG1226,30,Choanoflagellata,ENSP00000380948,ITGB2,0,0,1,0,0,0,0,1
KOG1226,30,Choanoflagellata,ENSP00000452786,ITGB3,0,0,1,0,0,0,0,1
KOG3528,30,Choanoflagellata,ENSP00000361467,DLG5,0,0,1,0,0,0,0,1
KOG3528,30,Choanoflagellata,ENSP00000363317,FRMPD2,0,1,0,0,0,0,0,1
KOG3611,30,Choanoflagellata,ENSP00000416523,SEMA4D,0,0,1,0,0,0,0,1
KOG3658,30,Choanoflagellata,ENSP00000309968,ADAM17,0,0,1,0,0,0,0,1
KOG1785,30,Choanoflagellata,ENSP00000264033,CBL,0,0,1,0,0,0,0,1
KOG1785,30,Choanoflagellata,ENSP00000264122,CBLB,0,0,1,0,0,0,0,1
KOG3971,30,Choanoflagellata,ENSP00000361663,IL1RAPL2,0,1,0,0,0,0,0,1
KOG3971,30,Choanoflagellata,ENSP00000368278,IL1RAPL1,0,1,0,0,0,0,0,1
KOG4295,30,Choanoflagellata,ENSP00000284981,APP,0,1,0,0,0,0,1,1
KOG4295,30,Choanoflagellata,ENSP00000301244,SPINT2,0,0,1,0,0,0,0,1
KOG3524,30,Choanoflagellata,ENSP00000376457,ECT2,0,1,0,0,0,0,0,1
KOG3776,30,Choanoflagellata,ENSP00000399421,CD36,0,0,1,0,0,0,0,1
KOG3529,30,Choanoflagellata,ENSP00000344666,NF2,0,0,1,0,0,0,0,1
KOG3529,30,Choanoflagellata,ENSP00000353408,MSN,0,0,1,0,0,0,0,1
KOG3529,30,Choanoflagellata,ENSP00000356042,EZR,0,0,1,0,0,0,0,1
KOG3529,30,Choanoflagellata,ENSP00000392105,INAVA,0,1,0,0,0,0,0,1
KOG2546,30,Choanoflagellata,ENSP00000295851,ABI2,0,1,0,0,0,0,0,1
COG5640,30,Choanoflagellata,ENSP00000216336,CTSG,0,0,1,0,0,0,0,1
COG5640,30,Choanoflagellata,ENSP00000233997,AZU1,1,0,0,0,0,0,0,1
COG5640,30,Choanoflagellata,ENSP00000250378,CMA1,0,0,0,1,0,0,0,1
COG5640,30,Choanoflagellata,ENSP00000308938,PLG,0,0,1,0,0,0,1,1
COG5640,30,Choanoflagellata,ENSP00000352639,CELA2A,0,0,1,0,0,0,0,1
KOG3735,30,Choanoflagellata,ENSP00000308753,TMOD3,0,0,1,0,0,0,0,1
KOG3610,30,Choanoflagellata,ENSP00000442736,PLXNB3,0,0,1,0,0,0,0,1
KOG4193,30,Choanoflagellata,ENSP00000455215,ADGRG1,0,0,1,0,0,0,0,1
KOG0200,30,Choanoflagellata,ENSP00000286301,CSF1R,0,1,0,0,0,0,0,1
KOG0200,30,Choanoflagellata,ENSP00000292408,FGFR4,0,0,0,1,0,0,0,1
KOG0994,30,Choanoflagellata,ENSP00000222399,LAMB1,0,0,1,0,0,0,0,1
KOG1917,30,Choanoflagellata,ENSP00000293373,NCKAP1L,0,0,1,0,0,0,0,1
