cog_id,root,clade_name,string_id,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis suppressor
NOG271637,17,Sauropsida,ENSP00000357727,S100A9,0,0,1,0,0,0,0
NOG23480,17,Sauropsida,ENSP00000470788,IL12RB1,0,0,1,0,0,0,0
NOG246954,17,Sauropsida,ENSP00000335062,PDCD1,0,0,1,0,0,0,0
NOG16609,17,Sauropsida,ENSP00000355361,CD47,0,0,1,0,0,0,0
NOG23429,17,Sauropsida,ENSP00000367817,PODXL,0,0,1,0,0,0,0
NOG28166,17,Sauropsida,ENSP00000264246,CD80,0,0,1,0,0,0,0
NOG03138,17,Sauropsida,ENSP00000294489,PDPN,0,0,1,1,1,0,0
NOG15898,18,Amphibia,ENSP00000315997,LILRB1,0,0,1,0,0,0,0
NOG15898,18,Amphibia,ENSP00000375616,LILRB4,0,0,1,0,0,0,0
NOG15898,18,Amphibia,ENSP00000375629,LILRB2,0,0,1,0,0,0,0
NOG15898,18,Amphibia,ENSP00000439454,TARM1,0,0,1,0,0,0,0
NOG259342,18,Amphibia,ENSP00000343129,TRIM29,0,0,1,0,0,0,0
NOG245543,18,Amphibia,ENSP00000398890,HLA-DMB,0,0,1,0,0,0,0
NOG61523,18,Amphibia,ENSP00000329991,IFNL1,0,0,1,0,0,0,0
NOG43638,18,Amphibia,ENSP00000356162,KISS1,0,0,0,0,0,0,1
NOG24221,19,Coelacanthimorpha,ENSP00000312021,FUT1,0,0,1,0,0,0,0
NOG258877,19,Coelacanthimorpha,ENSP00000378431,MMRN1,0,0,1,0,0,0,0
NOG18085,19,Coelacanthimorpha,ENSP00000231228,IL12B,0,0,1,0,0,0,0
NOG28618,19,Coelacanthimorpha,ENSP00000312652,LEP,0,0,1,0,0,0,0
NOG240695,19,Coelacanthimorpha,ENSP00000385675,IL6,0,0,1,1,1,0,0
NOG269868,19,Coelacanthimorpha,ENSP00000411788,GPR35,0,0,1,0,0,0,0
NOG26904,20,Actinopterygii,ENSP00000398698,TNF,1,1,1,0,0,0,0
NOG256826,20,Actinopterygii,ENSP00000256178,LYVE1,1,0,0,0,0,0,0
NOG256826,20,Actinopterygii,ENSP00000398632,CD44,0,0,1,0,0,0,1
NOG31937,20,Actinopterygii,ENSP00000353259,CD300A,0,0,1,0,0,0,0
NOG00771,20,Actinopterygii,ENSP00000315130,CLU,0,0,0,0,0,0,1
NOG269657,20,Actinopterygii,ENSP00000331746,CALCA,0,0,1,0,0,0,0
NOG258565,20,Actinopterygii,ENSP00000294728,VCAM1,1,0,1,0,0,0,0
NOG270365,20,Actinopterygii,ENSP00000247470,PYCARD,0,0,1,0,0,0,0
NOG01354,20,Actinopterygii,ENSP00000434045,GPR68,0,0,0,0,0,0,1
NOG26156,20,Actinopterygii,ENSP00000312002,HAVCR2,0,0,1,0,0,0,0
NOG05346,20,Actinopterygii,ENSP00000299952,MARVELD3,0,1,0,0,0,0,0
NOG08294,20,Actinopterygii,ENSP00000367433,AJAP1,0,0,1,0,0,0,0
NOG18533,20,Actinopterygii,ENSP00000303939,CTLA4,0,0,1,0,0,0,0
NOG18533,20,Actinopterygii,ENSP00000324890,CD28,0,0,1,0,0,0,0
NOG09317,20,Actinopterygii,ENSP00000378409,VSIR,0,0,1,0,0,0,0
NOG230762,20,Actinopterygii,ENSP00000347379,OCLN,0,1,0,0,0,0,0
NOG63872,20,Actinopterygii,ENSP00000259206,IL1RN,0,0,1,0,0,0,0
NOG63872,20,Actinopterygii,ENSP00000263341,IL1B,0,1,1,0,1,0,0
NOG02018,20,Actinopterygii,ENSP00000335320,BCL9L,0,0,0,0,1,0,0
NOG29623,20,Actinopterygii,ENSP00000457421,PECAM1,1,1,1,0,0,0,0
NOG22087,20,Actinopterygii,ENSP00000368664,RGCC,0,0,1,1,1,0,0
NOG06777,20,Actinopterygii,ENSP00000353462,CASS4,0,0,1,0,0,0,0
NOG22864,20,Actinopterygii,ENSP00000232003,HRG,0,1,1,0,0,0,0
NOG25139,20,Actinopterygii,ENSP00000320084,CD276,0,0,1,0,0,0,0
NOG25139,20,Actinopterygii,ENSP00000350402,HHLA2,0,0,1,0,0,0,0
NOG25139,20,Actinopterygii,ENSP00000358470,VTCN1,0,0,1,0,0,0,0
NOG15725,20,Actinopterygii,ENSP00000353099,HLA-DRB1,0,0,1,0,0,0,0
NOG15725,20,Actinopterygii,ENSP00000408146,HLA-DPB1,0,0,1,0,0,0,0
NOG07616,20,Actinopterygii,ENSP00000371420,GPNMB,0,0,1,0,0,0,0
NOG21071,20,Actinopterygii,ENSP00000284240,THY1,1,1,1,0,0,0,0
NOG03983,20,Actinopterygii,ENSP00000271417,ILDR2,0,0,1,0,0,0,0
NOG258221,20,Actinopterygii,ENSP00000359521,SLITRK2,0,1,0,0,0,0,0
NOG248765,20,Actinopterygii,ENSP00000321345,IL23R,0,0,1,0,0,0,0
NOG07053,20,Actinopterygii,ENSP00000373487,KRT18,0,0,1,0,0,0,0
NOG22019,20,Actinopterygii,ENSP00000361818,SDC4,0,0,1,0,0,0,0
NOG02920,20,Actinopterygii,ENSP00000262345,IL12RB2,0,0,1,0,0,0,0
NOG11150,20,Actinopterygii,ENSP00000295522,CLDN1,0,1,0,0,0,0,1
NOG10006,20,Actinopterygii,ENSP00000357005,F11R,1,1,1,0,0,0,0
NOG232117,20,Actinopterygii,ENSP00000338345,SNCA,0,1,0,0,0,0,0
NOG15005,20,Actinopterygii,ENSP00000378786,HLA-DRA,0,0,1,0,0,0,0
NOG15005,20,Actinopterygii,ENSP00000393566,HLA-DPA1,0,0,1,0,0,0,0
NOG14493,20,Actinopterygii,ENSP00000199764,CEACAM6,0,0,1,0,0,0,0
NOG266535,20,Actinopterygii,ENSP00000365817,HLA-E,0,0,1,0,0,0,0
NOG266535,20,Actinopterygii,ENSP00000379873,HLA-A,0,0,1,0,0,0,0
NOG266535,20,Actinopterygii,ENSP00000412927,HLA-G,0,0,1,0,0,0,0
NOG19558,20,Actinopterygii,ENSP00000352540,EMP2,0,0,1,0,0,0,0
NOG30694,20,Actinopterygii,ENSP00000271638,S100A11,0,0,1,0,0,0,0
NOG30694,20,Actinopterygii,ENSP00000357801,S100A10,0,1,1,0,0,0,0
NOG10082,20,Actinopterygii,ENSP00000364683,BAMBI,0,0,0,0,1,0,0
NOG08512,20,Actinopterygii,ENSP00000263735,EPCAM,0,0,1,0,0,0,0
NOG07743,20,Actinopterygii,ENSP00000254528,EMILIN2,0,0,1,0,0,0,0
NOG07743,20,Actinopterygii,ENSP00000369677,EMILIN1,0,0,1,0,0,0,0
NOG11833,20,Actinopterygii,ENSP00000384537,AKAP12,0,0,0,0,0,0,1
NOG22308,20,Actinopterygii,ENSP00000370989,CD274,0,0,1,0,0,0,0
NOG22308,20,Actinopterygii,ENSP00000380855,PDCD1LG2,0,0,1,0,0,0,0
NOG10515,20,Actinopterygii,ENSP00000329797,CADM1,0,0,0,0,0,0,1
NOG29134,20,Actinopterygii,ENSP00000253796,RAMP2,0,1,0,0,0,0,0
NOG04826,20,Actinopterygii,ENSP00000384273,RELA,0,0,1,0,0,0,0
NOG21851,20,Actinopterygii,ENSP00000252590,PLVAP,1,0,0,0,0,0,0
NOG03742,20,Actinopterygii,ENSP00000236850,APOA1,0,0,1,0,0,0,0
NOG03742,20,Actinopterygii,ENSP00000350425,APOA4,0,0,1,0,0,0,0
NOG06313,20,Actinopterygii,ENSP00000269394,ZNF750,0,0,0,0,1,0,0
NOG02504,20,Actinopterygii,ENSP00000362095,SRPX2,0,1,0,0,0,0,0
NOG22260,20,Actinopterygii,ENSP00000305529,SIRPG,0,0,1,0,0,0,0
NOG22260,20,Actinopterygii,ENSP00000382941,SIRPA,0,0,1,0,0,0,0
NOG02267,20,Actinopterygii,ENSP00000296677,F2RL1,0,1,0,0,0,0,0
NOG16413,20,Actinopterygii,ENSP00000391490,AGR2,0,0,1,0,0,0,0
NOG23958,20,Actinopterygii,ENSP00000330382,PDGFB,0,0,1,0,0,0,0
NOG240233,20,Actinopterygii,ENSP00000379140,CXCL12,1,0,1,0,0,0,0
NOG10229,20,Actinopterygii,ENSP00000420091,SLITRK3,0,1,0,0,0,0,0
NOG05335,20,Actinopterygii,ENSP00000366288,SLITRK1,0,1,0,0,0,0,0
NOG10255,20,Actinopterygii,ENSP00000383376,JAM2,1,0,1,0,0,0,0
NOG11571,20,Actinopterygii,ENSP00000221132,TNFRSF10A,0,0,0,0,0,0,1
NOG11571,20,Actinopterygii,ENSP00000276431,TNFRSF10B,0,0,0,0,0,0,1
NOG03043,20,Actinopterygii,ENSP00000262753,POF1B,0,1,0,0,0,0,0
NOG01189,20,Actinopterygii,ENSP00000263409,LIFR,0,0,0,0,0,0,1
NOG11666,20,Actinopterygii,ENSP00000302665,IGF1,0,0,1,0,0,0,0
NOG11666,20,Actinopterygii,ENSP00000391826,IGF2,0,0,1,0,0,0,0
NOG24490,20,Actinopterygii,ENSP00000339328,PLAUR,0,0,1,1,0,0,0
NOG18285,20,Actinopterygii,ENSP00000160262,ICAM3,0,0,1,0,0,0,0
NOG18285,20,Actinopterygii,ENSP00000221980,ICAM5,0,0,1,0,0,0,0
NOG18285,20,Actinopterygii,ENSP00000264832,ICAM1,1,0,1,0,0,0,0
NOG18285,20,Actinopterygii,ENSP00000342114,ICAM4,0,0,1,0,0,0,0
NOG18285,20,Actinopterygii,ENSP00000415283,ICAM2,0,0,1,0,0,0,1
NOG270127,20,Actinopterygii,ENSP00000461433,MCRIP1,0,0,0,0,1,0,0
NOG10139,20,Actinopterygii,ENSP00000258613,THSD1,0,1,1,0,0,0,0
NOG271296,20,Actinopterygii,ENSP00000259607,CCL21,1,0,1,0,0,0,0
NOG271296,20,Actinopterygii,ENSP00000375086,CCL25,1,0,1,0,0,0,0
NOG271296,20,Actinopterygii,ENSP00000474412,CCL5,0,0,1,0,0,0,0
NOG259005,20,Actinopterygii,ENSP00000323280,CD6,0,0,1,0,0,0,0
NOG09326,20,Actinopterygii,ENSP00000370473,IGFBP3,0,0,0,0,0,0,1
NOG33424,20,Actinopterygii,ENSP00000354566,CD3E,0,0,1,0,0,0,0
NOG09814,20,Actinopterygii,ENSP00000172229,NGFR,0,0,0,0,0,0,1
NOG23311,20,Actinopterygii,ENSP00000203629,LAG3,0,0,1,0,0,0,0
NOG258799,20,Actinopterygii,ENSP00000345359,PODXL2,1,0,1,0,0,0,0
NOG18232,20,Actinopterygii,ENSP00000362299,ENG,0,0,0,0,0,0,1
NOG277541,20,Actinopterygii,ENSP00000348635,JAML,1,0,0,0,0,0,0
NOG258820,20,Actinopterygii,ENSP00000321326,F2R,0,1,0,0,0,0,0
NOG15115,20,Actinopterygii,ENSP00000357470,IL6R,0,0,1,0,0,0,0
NOG272242,20,Actinopterygii,ENSP00000311313,CST6,0,0,0,0,0,0,1
NOG272242,20,Actinopterygii,ENSP00000381448,CST3,0,0,0,1,0,0,0
NOG00180,20,Actinopterygii,ENSP00000484715,SRCIN1,0,0,1,0,0,0,0
NOG21561,20,Actinopterygii,ENSP00000265016,BST1,0,0,1,0,0,0,0
NOG17118,21,Tunicata,ENSP00000249014,CDC42EP1,0,0,1,0,0,0,0
NOG09962,21,Tunicata,ENSP00000264025,NECTIN1,0,0,1,0,0,0,0
NOG07478,21,Tunicata,ENSP00000348521,GJB6,0,1,0,0,0,0,0
NOG07478,21,Tunicata,ENSP00000372295,GJB2,0,1,0,0,0,0,0
NOG07478,21,Tunicata,ENSP00000463752,GJD3,0,1,0,0,0,0,0
NOG07478,21,Tunicata,ENSP00000484552,GJA5,0,1,0,0,0,0,0
NOG06205,21,Tunicata,ENSP00000482304,ZP4,0,0,1,0,0,0,0
NOG01502,21,Tunicata,ENSP00000274000,AP1AR,0,0,1,0,0,0,0
NOG03800,21,Tunicata,ENSP00000064724,CLDN11,0,1,0,0,0,0,0
NOG09907,21,Tunicata,ENSP00000233809,IGFBP2,0,0,1,0,0,0,0
NOG08226,21,Tunicata,ENSP00000320794,USF3,0,0,0,0,1,0,0
NOG04884,21,Tunicata,ENSP00000379438,UMOD,0,0,1,0,0,0,0
NOG03763,21,Tunicata,ENSP00000296387,CLDN19,0,0,1,0,0,0,0
NOG03763,21,Tunicata,ENSP00000378577,CLDN3,0,1,1,0,0,0,0
NOG03763,21,Tunicata,ENSP00000385477,CLDN5,0,1,0,0,0,0,0
NOG259335,21,Tunicata,ENSP00000270233,BCAM,0,0,1,0,0,0,0
NOG258523,21,Tunicata,ENSP00000298743,GAS1,0,0,0,0,0,0,1
NOG05020,22,Cephalochordata,ENSP00000268638,IRF8,0,0,0,0,0,0,1
NOG14821,22,Cephalochordata,ENSP00000385451,MDK,0,0,1,0,1,0,0
NOG10066,22,Cephalochordata,ENSP00000370698,IL6ST,0,0,1,0,0,0,0
NOG13312,22,Cephalochordata,ENSP00000356791,DPT,0,0,0,0,0,0,1
NOG08140,22,Cephalochordata,ENSP00000478570,VEGFA,0,1,1,0,0,0,0
NOG11949,22,Cephalochordata,ENSP00000360472,LGI1,0,0,0,0,0,0,1
NOG258688,22,Cephalochordata,ENSP00000340864,C1QTNF1,0,0,1,0,0,0,0
NOG03212,22,Cephalochordata,ENSP00000352420,LDLRAD4,0,0,0,0,1,0,0
NOG00253,22,Cephalochordata,ENSP00000366058,SYNDIG1,0,1,0,0,0,0,0
NOG15339,22,Cephalochordata,ENSP00000419124,FAM107A,0,1,1,0,0,0,0
NOG06845,22,Cephalochordata,ENSP00000005260,BAIAP2L1,0,0,1,0,0,0,0
NOG06845,22,Cephalochordata,ENSP00000316338,BAIAP2,0,0,1,0,0,0,0
NOG03235,22,Cephalochordata,ENSP00000278927,ESAM,0,1,1,0,0,0,0
NOG03235,22,Cephalochordata,ENSP00000284878,CXADR,0,0,0,0,0,0,1
NOG07232,22,Cephalochordata,ENSP00000402584,MDGA1,0,1,1,0,0,0,0
NOG09784,23,Ambulacraria,ENSP00000212355,TGFBR3,0,0,0,1,0,0,0
NOG03534,23,Ambulacraria,ENSP00000353850,ITGB1BP1,0,1,1,0,0,0,0
NOG10822,23,Ambulacraria,ENSP00000414303,BDNF,0,1,0,0,0,0,0
NOG12100,23,Ambulacraria,ENSP00000303398,MTBP,0,0,0,0,0,0,1
NOG255743,23,Ambulacraria,ENSP00000370981,LZTS1,0,0,0,0,0,0,1
NOG19818,23,Ambulacraria,ENSP00000255688,RARRES3,0,0,0,0,0,0,1
NOG00382,23,Ambulacraria,ENSP00000346839,FN1,0,0,1,0,0,0,0
NOG06579,23,Ambulacraria,ENSP00000265371,NRP1,0,1,1,0,0,0,0
NOG04090,23,Ambulacraria,ENSP00000301945,ANTXR1,0,0,1,0,0,0,0
NOG232978,23,Ambulacraria,ENSP00000286760,WHAMM,0,1,1,0,0,0,0
NOG04095,23,Ambulacraria,ENSP00000389814,ADIPOQ,0,0,1,0,0,0,0
NOG00756,23,Ambulacraria,ENSP00000241261,TNFSF10,0,0,0,0,0,0,1
NOG00756,23,Ambulacraria,ENSP00000381775,TNFSF11,0,0,1,0,0,0,0
NOG00756,23,Ambulacraria,ENSP00000469049,TNFSF14,0,0,1,0,0,0,0
NOG246177,23,Ambulacraria,ENSP00000317891,TNIP1,0,0,1,0,0,0,0
NOG05445,23,Ambulacraria,ENSP00000300404,B4GALNT2,0,0,1,0,0,0,0
NOG04410,23,Ambulacraria,ENSP00000377895,FBXO38,0,0,1,0,0,0,0
NOG08024,23,Ambulacraria,ENSP00000338171,SKAP1,0,0,1,0,0,0,0
NOG04735,23,Ambulacraria,ENSP00000482228,PLEKHA2,0,0,1,0,0,0,0
NOG257892,23,Ambulacraria,ENSP00000482957,RIPOR2,0,0,1,0,0,0,0
COG4409,23,Ambulacraria,ENSP00000364782,NEU1,0,0,0,0,0,0,1
NOG257948,23,Ambulacraria,ENSP00000359385,GLMN,0,0,1,0,0,0,0
NOG01637,23,Ambulacraria,ENSP00000384262,HPSE,0,0,1,0,0,0,0
KOG3858,24,Ecdysozoa,ENSP00000245323,EFNB2,0,0,1,0,0,0,0
KOG3858,24,Ecdysozoa,ENSP00000328777,EFNA5,0,1,1,0,0,0,0
KOG3858,24,Ecdysozoa,ENSP00000357392,EFNA1,0,0,1,0,0,0,0
NOG06801,24,Ecdysozoa,ENSP00000339191,CAV1,0,0,1,0,0,0,0
KOG3545,24,Ecdysozoa,ENSP00000037502,MYOC,0,1,1,0,0,0,0
KOG3545,24,Ecdysozoa,ENSP00000219022,OLFM4,0,0,1,0,0,0,1
KOG4807,24,Ecdysozoa,ENSP00000384312,TRIOBP,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000306099,FGB,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000306361,FGA,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000336829,FGG,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000360170,ANGPTL3,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000366015,ANGPTL7,0,0,0,1,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000378957,MFAP4,0,0,0,1,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000381133,FGL1,0,0,1,0,0,0,0
KOG2579,24,Ecdysozoa,ENSP00000407685,TNXB,0,0,0,1,0,0,0
NOG02485,24,Ecdysozoa,ENSP00000262120,TWSG1,0,0,1,0,0,0,0
KOG2692,24,Ecdysozoa,ENSP00000225276,ST6GALNAC2,0,0,0,0,0,0,1
KOG2692,24,Ecdysozoa,ENSP00000436047,ST3GAL4,1,0,1,0,0,0,0
NOG236072,24,Ecdysozoa,ENSP00000405405,PHLDB2,0,1,1,0,0,0,0
KOG4788,24,Ecdysozoa,ENSP00000310880,MAL,0,0,0,0,0,0,1
KOG4788,24,Ecdysozoa,ENSP00000375649,MYADM,0,1,1,0,0,0,0
NOG245026,24,Ecdysozoa,ENSP00000478319,GREM1,0,0,0,1,1,0,0
NOG20771,24,Ecdysozoa,ENSP00000364595,NINJ1,0,0,1,0,0,0,0
NOG06917,24,Ecdysozoa,ENSP00000304895,IRS1,0,0,0,0,0,0,1
KOG4242,24,Ecdysozoa,ENSP00000331983,CARMIL1,0,0,1,0,0,0,0
KOG4242,24,Ecdysozoa,ENSP00000334958,CARMIL2,0,0,0,1,0,0,0
KOG4800,25,Spiralia,ENSP00000316861,GPM6B,0,1,1,1,0,0,0
KOG0487,25,Spiralia,ENSP00000283921,HOXA10,0,0,0,0,0,0,1
NOG239425,25,Spiralia,ENSP00000259526,CCN3,0,0,1,0,0,0,0
NOG239425,25,Spiralia,ENSP00000398736,CYR61,0,0,0,0,0,0,1
KOG4217,25,Spiralia,ENSP00000482027,NR4A3,0,0,1,0,0,0,0
NOG02565,25,Spiralia,ENSP00000322804,MTSS1,0,0,0,0,0,0,1
NOG239366,25,Spiralia,ENSP00000367227,TMEM8B,0,0,1,0,0,0,1
NOG03588,25,Spiralia,ENSP00000340900,MIA3,0,0,1,0,0,0,0
KOG3591,26,Cnidaria,ENSP00000433560,CRYAB,0,0,0,0,0,0,1
KOG4004,26,Cnidaria,ENSP00000414856,SPARCL1,0,0,0,0,0,0,1
NOG04453,26,Cnidaria,ENSP00000457593,NFAT5,0,0,1,0,0,0,0
KOG4447,26,Cnidaria,ENSP00000242261,TWIST1,0,0,0,0,1,0,1
KOG3805,26,Cnidaria,ENSP00000363149,SPDEF,0,0,0,0,0,0,1
NOG09140,26,Cnidaria,ENSP00000340494,ZNF395,0,0,0,0,0,0,1
KOG1834,26,Cnidaria,ENSP00000266546,CLSTN3,0,1,1,0,0,0,0
KOG4566,26,Cnidaria,ENSP00000329418,SOCS1,0,0,1,0,0,0,0
NOG246478,26,Cnidaria,ENSP00000344967,SPRY4,0,0,1,0,0,0,0
NOG238675,26,Cnidaria,ENSP00000324292,FBF1,0,1,0,0,0,0,0
NOG04524,26,Cnidaria,ENSP00000264094,LOXL3,0,0,1,0,0,0,0
NOG04524,26,Cnidaria,ENSP00000373783,LOXL2,0,0,0,1,1,0,0
NOG257656,26,Cnidaria,ENSP00000371798,FSCN1,0,1,0,1,0,0,0
COG3040,26,Cnidaria,ENSP00000345179,APOD,0,1,1,0,0,0,0
KOG3587,27,Placozoa,ENSP00000215909,LGALS1,0,0,1,0,0,0,0
KOG3587,27,Placozoa,ENSP00000254301,LGALS3,0,0,1,0,0,0,0
KOG3587,27,Placozoa,ENSP00000378856,LGALS9,0,0,1,0,0,0,1
KOG3555,27,Placozoa,ENSP00000378401,SPOCK1,0,0,1,0,0,0,0
NOG05235,28,Porifera,ENSP00000367797,SKI,0,0,0,0,0,0,1
KOG2462,28,Porifera,ENSP00000244050,SNAI1,0,1,0,0,1,0,0
KOG2462,28,Porifera,ENSP00000380034,SNAI2,0,1,0,0,0,0,0
KOG4796,28,Porifera,ENSP00000323264,MARVELD2,0,1,0,0,0,0,0
KOG3580,28,Porifera,ENSP00000281537,TJP1,0,1,1,0,0,0,0
KOG1892,28,Porifera,ENSP00000375960,AFDN,0,1,1,0,0,0,0
NOG04602,28,Porifera,ENSP00000296350,MELTF,0,0,1,1,0,0,0
KOG3516,28,Porifera,ENSP00000264638,CNTNAP1,0,1,0,0,0,0,0
KOG3516,28,Porifera,ENSP00000354778,CNTNAP2,0,1,0,0,0,0,0
KOG1052,28,Porifera,ENSP00000282020,GRID2,0,1,0,0,0,0,0
KOG3512,28,Porifera,ENSP00000359085,NTNG1,0,0,1,0,0,0,0
KOG3560,28,Porifera,ENSP00000242057,AHR,0,0,0,0,0,0,1
KOG4745,28,Porifera,ENSP00000218388,TIMP1,0,0,0,0,0,1,1
KOG4745,28,Porifera,ENSP00000262768,TIMP2,0,0,0,0,0,1,1
KOG4745,28,Porifera,ENSP00000266085,TIMP3,0,0,0,0,0,0,1
KOG4745,28,Porifera,ENSP00000287814,TIMP4,0,0,0,0,0,0,1
NOG236267,28,Porifera,ENSP00000264731,TP63,0,0,0,0,0,0,1
NOG239279,28,Porifera,ENSP00000367398,NPHP4,0,1,0,0,0,0,0
KOG3676,28,Porifera,ENSP00000406191,TRPV4,0,0,1,0,0,0,0
NOG06300,28,Porifera,ENSP00000313169,NPHP1,0,1,0,0,0,0,0
KOG3690,28,Porifera,ENSP00000389326,ACE2,0,1,0,0,0,0,0
KOG1731,28,Porifera,ENSP00000356574,QSOX1,0,0,0,1,0,0,0
COG4826,28,Porifera,ENSP00000223095,SERPINE1,0,0,1,0,0,0,0
COG4826,28,Porifera,ENSP00000254722,SERPINF1,0,0,0,0,0,0,1
COG4826,28,Porifera,ENSP00000355627,AGT,0,1,0,1,0,0,0
COG4826,28,Porifera,ENSP00000372221,SERPINB5,0,0,0,0,0,0,1
KOG3821,29,Ctenophora,ENSP00000366267,GPC5,0,0,0,0,0,0,1
KOG3821,29,Ctenophora,ENSP00000377836,GPC3,0,0,0,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000221930,TGFB1,0,0,1,1,1,0,1
KOG3900,29,Ctenophora,ENSP00000238682,TGFB3,0,0,0,0,1,0,0
KOG3900,29,Ctenophora,ENSP00000245451,BMP4,0,0,1,0,0,0,1
KOG3900,29,Ctenophora,ENSP00000283147,BMP6,0,0,1,0,0,0,0
KOG3900,29,Ctenophora,ENSP00000287139,NODAL,0,0,1,0,0,0,0
KOG3900,29,Ctenophora,ENSP00000355896,TGFB2,0,0,0,1,1,0,0
KOG3900,29,Ctenophora,ENSP00000368104,BMP2,0,0,1,0,1,0,0
KOG3900,29,Ctenophora,ENSP00000379204,BMP7,0,0,1,0,0,0,0
KOG3900,29,Ctenophora,ENSP00000463051,GDF2,0,1,0,0,0,0,0
KOG3913,29,Ctenophora,ENSP00000284523,WNT3A,0,1,0,0,0,0,0
KOG3913,29,Ctenophora,ENSP00000285018,WNT7A,0,1,0,0,0,0,0
KOG3913,29,Ctenophora,ENSP00000293549,WNT1,0,0,1,0,0,0,0
KOG3701,29,Ctenophora,ENSP00000262158,SMAD7,0,1,1,0,1,0,0
KOG3701,29,Ctenophora,ENSP00000332973,SMAD3,0,0,0,1,1,0,0
KOG3701,29,Ctenophora,ENSP00000341551,SMAD4,0,0,0,1,0,0,1
KOG0489,29,Ctenophora,ENSP00000242159,HOXA7,0,0,1,0,0,0,0
KOG0489,29,Ctenophora,ENSP00000346879,NKX2-1,0,0,0,0,1,0,1
KOG0489,29,Ctenophora,ENSP00000386498,HOXD3,0,0,1,0,0,0,0
KOG3727,29,Ctenophora,ENSP00000279227,FERMT3,0,0,1,0,0,0,0
KOG3727,29,Ctenophora,ENSP00000342858,FERMT2,0,1,1,0,1,0,0
