cog_id,root,clade_name,string_id,queryItem,rooted_group
COG2335,31,Fungi,ENSP00000369071,POSTN,Unicellular
KOG3508,32,Amoebozoa,ENSP00000356621,RASAL2,Unicellular
KOG3771,32,Amoebozoa,ENSP00000316779,BIN1,Unicellular
KOG0490,32,Amoebozoa,ENSP00000340226,LMX1A,Unicellular
KOG3780,32,Amoebozoa,ENSP00000462521,TXNIP,Unicellular
KOG1642,33,Viridiplantae,ENSP00000426455,RNASET2,Unicellular
COG1881,33,Viridiplantae,ENSP00000261313,PEBP1,Unicellular
KOG0082,34,Discoba,ENSP00000312999,GNAI2,Unicellular
KOG4562,34,Discoba,ENSP00000364847,MAGED1,Unicellular
KOG0443,34,Discoba,ENSP00000362924,GSN,Unicellular
KOG1755,35,Rhodophyta,ENSP00000225655,PFN1,Unicellular
COG5641,35,Rhodophyta,ENSP00000368632,GATA3,Unicellular
COG0044,35,Rhodophyta,ENSP00000321606,CRMP1,Unicellular
COG0044,35,Rhodophyta,ENSP00000343690,DPYSL3,Unicellular
COG0538,36,SAR,ENSP00000390265,IDH1,Unicellular
COG5160,36,SAR,ENSP00000296257,SENP2,Unicellular
COG0209,36,SAR,ENSP00000300738,RRM1,Unicellular
COG5022,36,SAR,ENSP00000334563,MYO18B,Unicellular
COG5025,36,SAR,ENSP00000363377,FOXO4,Unicellular
COG0571,36,SAR,ENSP00000437256,DICER1,Unicellular
COG0702,36,SAR,ENSP00000392985,HTATIP2,Unicellular
COG0055,36,SAR,ENSP00000356234,KDM5B,Unicellular
COG0671,36,SAR,ENSP00000392553,PPAPDC1B,Unicellular
COG0265,36,SAR,ENSP00000357980,HTRA1,Unicellular
KOG4441,36,SAR,ENSP00000356468,IVNS1ABP,Unicellular
COG5082,36,SAR,ENSP00000410769,CNBP,Unicellular
COG5069,36,SAR,ENSP00000354923,DMD,Unicellular
COG5069,36,SAR,ENSP00000378400,LIMA1,Unicellular
KOG1508,36,SAR,ENSP00000361777,SET,Unicellular
KOG0032,37,Metamonada,ENSP00000386135,DAPK1,Unicellular
COG0515,37,Metamonada,ENSP00000332118,EPHB3,Unicellular
COG0515,37,Metamonada,ENSP00000364907,SYK,Unicellular
COG0515,37,Metamonada,ENSP00000431885,TYK2,Unicellular
COG0515,37,Metamonada,ENSP00000481994,EPHB6,Unicellular
COG5076,37,Metamonada,ENSP00000263253,EP300,Unicellular
COG5273,37,Metamonada,ENSP00000262096,ZDHHC2,Unicellular
COG0572,37,Metamonada,ENSP00000377508,JUP,Unicellular
COG1163,37,Metamonada,ENSP00000329715,DRG1,Unicellular
COG0105,37,Metamonada,ENSP00000219302,NME3,Unicellular
COG0105,37,Metamonada,ENSP00000337060,NME1,Unicellular
COG0105,37,Metamonada,ENSP00000376889,NME2,Unicellular
COG0123,37,Metamonada,ENSP00000216271,HDAC10,Unicellular
COG0369,37,Metamonada,ENSP00000327251,NOS2,Unicellular
COG5058,37,Metamonada,ENSP00000271688,CERS2,Unicellular
COG2453,37,Metamonada,ENSP00000171887,TNS1,Unicellular
COG2453,37,Metamonada,ENSP00000361021,PTEN,Unicellular
COG5307,37,Metamonada,ENSP00000377280,FBXO8,Unicellular
COG4886,37,Metamonada,ENSP00000360597,LRRC26,Unicellular
COG4886,37,Metamonada,ENSP00000422591,SLIT2,Unicellular
COG0666,37,Metamonada,ENSP00000418915,CDKN2A,Unicellular
COG2940,37,Metamonada,ENSP00000313983,WHSC1L1,Unicellular
KOG3911,37,Metamonada,ENSP00000339145,RRP1B,Unicellular
COG0456,37,Metamonada,ENSP00000417763,NAA10,Unicellular
KOG1721,37,Metamonada,ENSP00000285407,KLF10,Unicellular
KOG1721,37,Metamonada,ENSP00000363804,KLF4,Unicellular
KOG3205,37,Metamonada,ENSP00000228945,ARHGDIB,Unicellular
KOG3205,37,Metamonada,ENSP00000269321,ARHGDIA,Unicellular
KOG4308,37,Metamonada,ENSP00000433999,RNH1,Unicellular
COG1100,37,Metamonada,ENSP00000364886,RND3,Unicellular
COG1100,37,Metamonada,ENSP00000427926,RHOBTB2,Unicellular
KOG1109,37,Metamonada,ENSP00000262291,VMP1,Unicellular
COG0225,37,Metamonada,ENSP00000313921,MSRA,Unicellular
