node,cog_id,root,clade_name,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis related,count
ENSP00000249071,COG1100,32,Amoebozoa,RAC2,0,0,1,0,0,0,1,44
ENSP00000250378,COG5640,32,Amoebozoa,CMA1,0,0,0,1,0,0,0,3
ENSP00000250448,KOG3563,27,Placozoa,FOXA1,0,0,0,0,1,0,0,7
ENSP00000250559,COG1100,32,Amoebozoa,RAP1B,0,1,0,0,0,0,1,28
ENSP00000252483,NOG008137,14,Afrotheria,NECTIN2,0,0,1,0,0,0,0,3
ENSP00000252599,KOG4179,29,Ctenophora,COLGALT1,0,0,0,1,0,0,0,11
ENSP00000252699,KOG0035,31,Fungi,ACTN4,0,0,1,0,0,0,1,32
ENSP00000252804,KOG2408,32,Amoebozoa,PXDN,0,0,0,1,0,0,0,1
ENSP00000252999,NOG008974,32,Amoebozoa,LAMA5,0,0,1,0,0,0,1,30
ENSP00000253796,NOG008169,20,Actinopterygii,RAMP2,0,1,0,0,0,0,0,3
ENSP00000254066,KOG3575,32,Amoebozoa,RARA,0,0,1,0,0,0,0,6
ENSP00000254301,KOG3587,25,Spiralia,LGALS3,0,0,1,0,0,0,0,5
ENSP00000254958,NOG008962,32,Amoebozoa,JAG1,0,0,1,0,0,0,1,6
ENSP00000256178,KOG1721,32,Amoebozoa,LYVE1,1,0,0,0,0,0,1,1
ENSP00000257189,KOG3594,32,Amoebozoa,DSG3,0,1,0,0,0,0,0,6
ENSP00000257770,COG0737,32,Amoebozoa,NT5E,0,0,1,0,0,0,1,3
ENSP00000258341,NOG008974,32,Amoebozoa,LAMC1,0,1,1,0,0,0,0,34
ENSP00000259206,NOG019895,16,Prototheria,IL1RN,0,0,1,0,0,0,0,1
ENSP00000259371,KOG3508,31,Fungi,DAB2IP,0,0,0,0,1,0,1,3
ENSP00000259526,NOG009867,24,Ecdysozoa,CCN3,0,0,1,0,0,0,0,1
ENSP00000259607,NOG013710,20,Actinopterygii,CCL21,1,0,1,0,0,0,1,8
ENSP00000259698,NOG008961,32,Amoebozoa,RIPOR2,0,0,1,0,0,0,0,9
ENSP00000260356,NOG008962,32,Amoebozoa,THBS1,0,0,1,0,0,0,1,35
ENSP00000261023,KOG3637,29,Ctenophora,ITGAV,0,0,1,0,0,0,1,63
ENSP00000261590,KOG3594,32,Amoebozoa,DSG2,0,1,1,0,1,0,0,21
ENSP00000261769,KOG3594,32,Amoebozoa,CDH1,0,1,1,0,0,0,1,26
ENSP00000261861,COG1985,31,Fungi,CORO2B,0,0,1,0,0,0,0,1
ENSP00000262158,KOG3701,29,Ctenophora,SMAD7,0,1,1,0,1,0,1,14
ENSP00000262407,KOG3637,29,Ctenophora,ITGA2B,0,0,1,0,0,0,0,61
ENSP00000263212,COG0631,32,Amoebozoa,PPM1F,0,1,1,0,0,0,0,1
ENSP00000263253,KOG1778,32,Amoebozoa,EP300,0,0,1,0,0,0,1,43
ENSP00000263341,NOG040050,20,Actinopterygii,IL1B,0,1,1,0,1,0,1,12
ENSP00000263645,KOG3882,29,Ctenophora,CD81,0,0,1,0,0,0,1,2
ENSP00000263686,KOG4297,32,Amoebozoa,SELP,1,0,1,0,0,0,1,8
ENSP00000263710,KOG2956,32,Amoebozoa,CLASP1,0,1,1,1,1,0,0,3
ENSP00000263923,KOG0200,30,Choanoflagellata,KDR,0,1,1,0,0,0,1,39
ENSP00000263946,KOG1048,29,Ctenophora,PKP1,0,0,1,0,0,0,0,8
ENSP00000264025,KOG3515,28,Porifera,NECTIN1,0,0,1,0,0,0,0,3
ENSP00000264094,NOG008962,32,Amoebozoa,LOXL3,0,0,1,0,0,0,0,2
ENSP00000264246,NOG008990,31,Fungi,CD80,0,0,1,0,0,0,1,15
ENSP00000264431,KOG3542,30,Choanoflagellata,RAPGEF2,0,1,0,0,0,0,0,5
ENSP00000264436,COG0235,32,Amoebozoa,ADD2,1,0,1,0,0,0,0,3
ENSP00000264657,KOG3667,29,Ctenophora,STAT3,0,0,0,0,0,1,1,59
ENSP00000264710,KOG0078,32,Amoebozoa,RAB10,0,0,1,0,0,0,0,4
ENSP00000264741,KOG3637,29,Ctenophora,ITGA9,0,0,1,0,0,0,0,48
ENSP00000264832,NOG006678,14,Afrotheria,ICAM1,1,0,1,0,0,0,1,11
ENSP00000264972,COG0478,32,Amoebozoa,ZAP70,0,0,1,0,0,0,0,23
ENSP00000265016,NOG008635,19,Coelacanthimorpha,BST1,0,0,1,0,0,0,0,8
ENSP00000265165,KOG3248,28,Porifera,LEF1,0,0,0,0,1,0,1,13
ENSP00000265371,KOG4292,29,Ctenophora,NRP1,0,1,1,0,0,0,1,13
ENSP00000265562,KOG2220,32,Amoebozoa,PTPN23,0,0,1,0,0,0,0,3
ENSP00000265734,KOG0594,32,Amoebozoa,CDK6,0,0,1,0,0,0,0,5
ENSP00000267082,KOG1226,32,Amoebozoa,ITGB7,1,0,1,0,0,0,0,50
ENSP00000268603,KOG3594,32,Amoebozoa,CDH11,0,1,1,0,0,0,1,11
ENSP00000268613,KOG3594,32,Amoebozoa,CDH13,0,0,1,0,0,0,1,6
ENSP00000271638,COG0666,32,Amoebozoa,S100A11,0,0,1,0,0,0,1,5
ENSP00000274063,KOG3577,28,Porifera,SFRP2,0,0,0,0,1,0,1,5
ENSP00000274376,KOG3508,31,Fungi,RASA1,0,0,1,0,0,0,1,18
ENSP00000275815,COG0478,32,Amoebozoa,EPHA1,0,0,1,0,0,0,1,8
ENSP00000276297,KOG2200,31,Fungi,DLC1,0,1,1,0,0,0,1,6
ENSP00000276440,KOG1998,31,Fungi,DOCK5,0,0,1,0,0,0,0,10
ENSP00000278198,COG1552,32,Amoebozoa,LRRC4C,0,0,1,0,0,0,0,2
ENSP00000278572,COG0092,32,Amoebozoa,RPS3,0,0,1,0,0,0,0,5
ENSP00000278927,NOG014134,21,Tunicata,ESAM,0,1,1,0,0,0,1,7
ENSP00000279227,KOG3727,28,Porifera,FERMT3,0,0,1,0,0,0,1,9
ENSP00000280357,NOG007716,20,Actinopterygii,IL18,0,0,1,0,0,0,1,10
ENSP00000281821,COG0478,32,Amoebozoa,EPHA4,0,0,0,0,1,0,1,8
ENSP00000282020,KOG1052,32,Amoebozoa,GRID2,0,1,0,0,0,0,0,1
ENSP00000282588,KOG3637,29,Ctenophora,ITGA1,0,0,1,0,0,0,0,49
ENSP00000283147,KOG3900,28,Porifera,BMP6,0,0,1,0,0,0,1,3
ENSP00000283228,COG5599,32,Amoebozoa,PTPRR,0,0,1,0,0,0,1,2
ENSP00000283249,KOG1226,32,Amoebozoa,ITGB6,0,0,1,0,0,0,1,51
ENSP00000283285,NOG007227,14,Afrotheria,CD96,0,0,1,0,0,0,0,2
ENSP00000284240,NOG007353,18,Amphibia,THY1,1,1,1,0,0,0,1,6
ENSP00000284523,KOG3913,29,Ctenophora,WNT3A,0,1,0,0,0,0,1,10
ENSP00000284878,KOG3573,28,Porifera,CXADR,0,0,1,0,0,0,1,1
ENSP00000284981,KOG3540,29,Ctenophora,APP,0,1,0,0,0,0,0,27
ENSP00000285018,KOG3913,29,Ctenophora,WNT7A,0,1,0,0,0,0,0,6
ENSP00000285735,COG1100,32,Amoebozoa,RHOC,0,1,0,0,0,0,1,27
ENSP00000286201,KOG3577,28,Porifera,FZD7,0,0,1,0,0,0,1,11
ENSP00000286301,KOG0200,30,Choanoflagellata,CSF1R,0,1,0,0,0,0,0,20
ENSP00000286760,NOG008962,32,Amoebozoa,WHAMM,0,1,1,0,0,0,0,4
ENSP00000286827,KOG3519,31,Fungi,TIAM1,0,0,1,0,1,0,1,17
ENSP00000287139,KOG3900,28,Porifera,NODAL,0,0,1,0,0,0,0,2
ENSP00000287820,KOG3575,32,Amoebozoa,PPARG,0,0,0,1,0,0,1,18
ENSP00000292408,KOG0200,30,Choanoflagellata,FGFR4,0,0,0,1,0,0,1,11
ENSP00000293373,KOG1917,29,Ctenophora,NCKAP1L,0,0,1,0,0,0,0,32
ENSP00000293379,KOG3637,29,Ctenophora,ITGA5,0,0,1,0,0,0,1,52
ENSP00000293549,KOG3913,29,Ctenophora,WNT1,0,0,1,0,0,0,1,12
ENSP00000294489,KOG2461,30,Choanoflagellata,PDPN,0,0,1,1,1,0,0,2
ENSP00000294728,NOG008990,31,Fungi,VCAM1,1,0,1,0,0,0,1,11
ENSP00000295522,KOG3364,32,Amoebozoa,CLDN1,0,1,0,0,0,0,1,7
ENSP00000295851,KOG2546,29,Ctenophora,ABI2,0,1,0,0,0,0,0,30
ENSP00000296181,KOG1226,32,Amoebozoa,ITGB5,0,0,1,0,0,0,1,55
ENSP00000296387,KOG3364,32,Amoebozoa,CLDN19,0,0,1,0,0,0,0,7
ENSP00000296585,KOG3637,29,Ctenophora,ITGA2,0,0,1,0,0,0,1,49
ENSP00000296677,KOG3544,32,Amoebozoa,F2RL1,0,1,0,0,0,0,1,5
ENSP00000297268,KOG3544,32,Amoebozoa,COL1A2,0,0,0,1,0,0,0,43
ENSP00000298552,COG0326,32,Amoebozoa,TSC1,0,1,1,0,0,0,0,8
ENSP00000299106,NOG011775,22,Cephalochordata,JAM3,1,1,1,0,0,0,1,14
ENSP00000300404,NOG008649,1,Homo,B4GALNT2,0,0,1,0,0,0,0,1
ENSP00000300574,KOG4792,29,Ctenophora,CRK,0,0,1,0,0,0,1,59
ENSP00000301272,KOG3168,32,Amoebozoa,TMIGD2,0,0,1,0,0,0,0,1
ENSP00000301945,NOG008962,32,Amoebozoa,ANTXR1,0,0,1,0,0,0,1,1
ENSP00000302599,KOG2619,30,Choanoflagellata,FUT9,1,0,1,0,0,0,0,4
ENSP00000302621,COG1552,32,Amoebozoa,LRG1,0,0,1,0,1,0,1,1
ENSP00000302625,KOG3589,31,Fungi,AXIN2,0,0,0,0,1,0,1,6
ENSP00000302846,KOG3656,32,Amoebozoa,PTGER4,1,0,0,0,0,0,0,1
ENSP00000303231,NOG007142,17,Sauropsida,IL12A,0,0,1,0,0,0,1,15
ENSP00000303507,KOG4269,31,Fungi,BCR,0,1,1,0,0,0,0,21
ENSP00000304283,COG1100,32,Amoebozoa,RAC3,0,0,1,0,0,0,1,51
ENSP00000304408,KOG3544,32,Amoebozoa,COL3A1,0,0,1,1,0,0,1,18
ENSP00000305529,KOG3510,32,Amoebozoa,SIRPG,0,0,1,0,0,0,0,7
ENSP00000305603,KOG2619,30,Choanoflagellata,FUT3,0,0,1,0,0,0,0,5
ENSP00000305988,KOG3515,28,Porifera,ALCAM,0,0,1,0,0,0,1,7
ENSP00000306099,KOG2579,30,Choanoflagellata,FGB,0,0,1,0,0,0,0,25
ENSP00000306330,KOG0841,32,Amoebozoa,YWHAG,0,0,1,0,0,0,0,11
ENSP00000306864,COG1552,32,Amoebozoa,VASN,0,0,0,0,1,0,0,2
ENSP00000307959,KOG0516,32,Amoebozoa,DST,0,1,0,0,0,0,0,5
ENSP00000308576,COG1100,32,Amoebozoa,RHOD,0,1,1,0,0,0,0,5
ENSP00000308753,KOG3735,28,Porifera,TMOD3,0,0,1,0,0,0,0,1
ENSP00000308938,COG5640,32,Amoebozoa,PLG,0,0,1,0,0,0,1,20
ENSP00000309591,KOG0616,32,Amoebozoa,PRKACA,0,1,0,0,0,0,0,23
ENSP00000309953,NOG008962,32,Amoebozoa,EFEMP2,0,0,1,1,0,0,0,5
ENSP00000309968,KOG3658,30,Choanoflagellata,ADAM17,0,0,1,0,0,0,1,8
ENSP00000310094,KOG0577,30,Choanoflagellata,TAOK2,0,1,1,0,0,0,0,1
ENSP00000311005,KOG0660,32,Amoebozoa,MAPK7,0,0,1,0,0,0,1,4
ENSP00000312002,KOG3510,32,Amoebozoa,HAVCR2,0,0,1,0,0,0,0,3
ENSP00000312021,COG1597,32,Amoebozoa,FUT1,0,0,1,0,0,0,0,5
ENSP00000312652,NOG039735,20,Actinopterygii,LEP,0,0,1,0,0,0,1,11
ENSP00000313169,COG5277,32,Amoebozoa,NPHP1,0,1,0,0,0,0,0,3
ENSP00000313391,KOG3535,29,Ctenophora,DAB2,0,0,0,0,1,0,1,7
ENSP00000313875,KOG4297,32,Amoebozoa,CD46,0,0,1,0,0,0,0,3
ENSP00000314067,KOG0578,31,Fungi,PAK2,0,1,0,0,0,0,0,48
ENSP00000315190,KOG3637,29,Ctenophora,ITGA3,0,0,1,0,0,0,0,47
ENSP00000315477,KOG4297,32,Amoebozoa,CD209,0,0,1,0,0,0,0,1
ENSP00000315997,NOG008990,31,Fungi,LILRB1,0,0,1,0,0,0,0,5
ENSP00000316338,KOG2642,32,Amoebozoa,BAIAP2,0,0,1,0,0,0,1,21
ENSP00000317891,NOG010311,23,Ambulacraria,TNIP1,0,0,1,0,0,0,0,1
ENSP00000317985,COG0478,32,Amoebozoa,ROCK2,0,1,0,0,0,0,1,31
ENSP00000318142,KOG2619,30,Choanoflagellata,FUT7,1,0,1,0,0,0,0,1
ENSP00000320147,COG2940,32,Amoebozoa,EZH2,0,0,0,0,1,0,1,8
ENSP00000320866,KOG0674,30,Choanoflagellata,CALR,0,0,1,0,0,0,1,6
ENSP00000321326,KOG3544,32,Amoebozoa,F2R,0,1,0,0,0,0,1,7
ENSP00000323264,KOG4796,28,Porifera,MARVELD2,0,1,0,0,0,0,0,2
ENSP00000323280,KOG3510,32,Amoebozoa,CD6,0,0,1,0,0,0,0,8
ENSP00000323856,KOG0516,32,Amoebozoa,PLEC,0,1,0,0,0,0,1,5
ENSP00000324806,COG0478,32,Amoebozoa,GSK3B,0,0,1,0,1,0,1,23
ENSP00000324890,NOG008308,20,Actinopterygii,CD28,0,0,1,0,0,0,0,11
ENSP00000325527,NOG008962,32,Amoebozoa,FBN1,0,0,1,0,0,0,1,14
ENSP00000326031,COG0639,32,Amoebozoa,PPP1CA,0,0,1,0,0,0,0,15
ENSP00000327290,KOG3637,29,Ctenophora,ITGA11,0,0,1,0,0,0,0,45
ENSP00000327760,KOG2956,32,Amoebozoa,CLASP2,0,1,1,1,1,0,0,4
ENSP00000327801,COG0526,32,Amoebozoa,P4HB,0,0,1,0,0,0,0,17
ENSP00000328777,KOG3858,26,Cnidaria,EFNA5,0,1,1,0,0,0,0,11
ENSP00000329127,KOG0694,31,Fungi,PRKCH,0,1,0,0,0,0,0,2
ENSP00000329991,NOG044029,15,Metatheria,IFNL1,0,0,1,0,0,0,0,8
ENSP00000330382,NOG036472,21,Tunicata,PDGFB,0,0,1,0,0,0,1,23
ENSP00000331544,NOG008962,32,Amoebozoa,FBLN1,0,0,1,0,0,0,0,8
ENSP00000331678,KOG1048,29,Ctenophora,PKP3,0,1,1,0,0,0,1,8
ENSP00000331682,KOG4441,32,Amoebozoa,KLHL22,0,0,1,0,0,0,0,2
ENSP00000331736,KOG4297,32,Amoebozoa,SELE,1,0,1,0,0,0,1,2
ENSP00000331746,NOG040004,20,Actinopterygii,CALCA,0,0,1,0,0,0,1,8
ENSP00000331983,KOG4242,30,Choanoflagellata,CARMIL1,0,0,1,0,0,0,0,8
ENSP00000332118,COG0478,32,Amoebozoa,EPHB3,0,0,1,0,0,0,1,14
ENSP00000332973,KOG3701,29,Ctenophora,SMAD3,0,0,0,1,1,0,1,25
ENSP00000333919,NOG007484,20,Actinopterygii,BTLA,0,0,1,0,0,0,0,2
ENSP00000334008,KOG3631,30,Choanoflagellata,PARVA,0,0,1,0,0,0,1,26
ENSP00000334374,COG1552,32,Amoebozoa,SLITRK2,0,1,1,0,0,0,0,5
ENSP00000334941,COG5599,32,Amoebozoa,PTPRU,0,0,1,0,0,0,0,1
ENSP00000335062,NOG007283,17,Sauropsida,PDCD1,0,0,1,0,0,0,1,11
ENSP00000335074,NOG007497,19,Coelacanthimorpha,GHRL,0,1,0,0,0,0,1,6
ENSP00000335320,COG5640,32,Amoebozoa,BCL9L,0,0,0,0,1,0,0,3
ENSP00000336800,KOG4441,32,Amoebozoa,KLHL25,0,0,1,0,0,0,0,3
ENSP00000336829,KOG2579,30,Choanoflagellata,FGG,0,0,1,0,0,0,0,25
ENSP00000337451,COG0478,32,Amoebozoa,EPHA3,0,1,1,0,0,0,0,8
ENSP00000337598,KOG2272,30,Choanoflagellata,LIMS1,0,1,1,0,0,0,0,7
ENSP00000337907,COG0194,32,Amoebozoa,MPP7,0,1,0,0,0,0,0,20
ENSP00000338127,COG0478,32,Amoebozoa,TESK1,0,0,1,0,0,0,0,2
ENSP00000338171,NOG010374,28,Porifera,SKAP1,0,0,1,0,0,0,0,7
ENSP00000338934,KOG3529,29,Ctenophora,EZR,0,0,1,0,0,0,0,18
ENSP00000338967,KOG2710,31,Fungi,ARHGAP6,0,1,1,0,0,0,0,2
ENSP00000339191,NOG042698,27,Placozoa,CAV1,0,0,1,0,0,0,1,53
ENSP00000339328,NOG008669,20,Actinopterygii,PLAUR,0,0,1,0,0,0,1,10
ENSP00000339467,COG1100,32,Amoebozoa,RHOG,0,1,0,0,0,0,0,20
ENSP00000339527,KOG2294,32,Amoebozoa,FOXO3,0,0,1,0,0,0,0,17
ENSP00000339730,NOG008962,32,Amoebozoa,THBS4,0,0,1,0,0,0,0,25
ENSP00000339912,COG1552,32,Amoebozoa,FLRT3,0,0,1,0,0,0,0,2
ENSP00000340019,COG0459,32,Amoebozoa,HSPD1,0,0,1,0,0,0,0,4
ENSP00000340330,KOG2747,32,Amoebozoa,KAT5,0,0,1,0,0,0,1,13
ENSP00000340989,KOG0841,32,Amoebozoa,SFN,0,0,1,0,0,0,0,13
ENSP00000341189,KOG4257,30,Choanoflagellata,PTK2,0,1,1,0,1,0,1,72
ENSP00000341208,KOG3667,29,Ctenophora,STAT5A,0,0,1,0,0,0,0,22
ENSP00000341551,KOG3701,29,Ctenophora,SMAD4,0,0,0,1,0,0,1,18
ENSP00000341785,COG1272,32,Amoebozoa,ADIPOR1,0,0,0,0,1,0,0,1
ENSP00000341905,KOG3508,31,Fungi,RASAL3,0,0,1,0,0,0,0,4
ENSP00000342609,KOG2329,32,Amoebozoa,ACER2,0,0,1,0,0,0,0,1
ENSP00000342858,KOG3727,28,Porifera,FERMT2,0,1,1,0,1,0,1,10
ENSP00000344666,KOG3529,29,Ctenophora,NF2,0,0,1,0,0,0,1,6
ENSP00000345008,NOG008962,32,Amoebozoa,FBLN5,0,0,0,1,0,0,1,6
ENSP00000345347,KOG0381,32,Amoebozoa,HMGB1,0,0,1,0,0,0,1,11
ENSP00000345731,COG0194,32,Amoebozoa,DLG1,0,1,0,0,0,0,0,9
ENSP00000346032,KOG0819,32,Amoebozoa,ANXA2,0,0,1,0,0,0,1,7
ENSP00000346148,KOG0583,32,Amoebozoa,PRKAA1,0,0,1,0,0,0,0,9
ENSP00000346300,KOG4792,29,Ctenophora,CRKL,0,0,1,0,0,0,1,48
ENSP00000346483,KOG3054,29,Ctenophora,DDRGK1,0,0,0,0,0,1,0,2
ENSP00000346839,KOG1565,32,Amoebozoa,FN1,0,0,1,0,0,0,1,56
ENSP00000347379,NOG008950,32,Amoebozoa,OCLN,0,1,0,0,0,0,1,9
ENSP00000347427,KOG0587,30,Choanoflagellata,MINK1,0,0,1,0,0,0,0,2
ENSP00000347948,NOG010748,23,Ambulacraria,TNFRSF14,0,0,1,0,0,0,0,3
ENSP00000348416,KOG3580,27,Placozoa,TJP1,0,1,1,0,0,0,0,20
ENSP00000348461,COG1100,32,Amoebozoa,RAC1,0,1,1,0,0,0,1,68
ENSP00000348635,NOG009119,21,Tunicata,JAML,1,0,1,0,0,0,0,2
ENSP00000349252,KOG3637,29,Ctenophora,ITGAL,1,0,1,0,0,0,0,35
ENSP00000349436,KOG3607,31,Fungi,ADAM15,0,0,1,0,0,0,1,7
ENSP00000350425,NOG010102,18,Amphibia,APOA4,0,0,1,0,0,0,0,8
ENSP00000351209,COG0478,32,Amoebozoa,EPHA2,0,1,0,0,0,0,1,36
ENSP00000351602,KOG2619,30,Choanoflagellata,FUT4,0,0,1,0,0,0,0,6
ENSP00000351905,COG0478,32,Amoebozoa,TGFBR2,0,0,1,0,1,0,1,20
ENSP00000352138,KOG3510,32,Amoebozoa,KIRREL1,0,1,0,0,0,0,0,10
ENSP00000352288,KOG3610,30,Choanoflagellata,PLXNB2,0,0,1,0,0,0,0,7
ENSP00000352420,COG0500,32,Amoebozoa,LDLRAD4,0,0,0,0,1,0,0,2
ENSP00000352833,COG5599,32,Amoebozoa,PTPN22,0,0,1,0,0,0,0,7
ENSP00000353030,COG5599,32,Amoebozoa,PTPRF,0,0,1,0,0,0,0,5
ENSP00000353099,NOG008956,32,Amoebozoa,HLA-DRB1,0,0,1,0,0,0,0,18
ENSP00000353259,KOG3637,29,Ctenophora,CD300A,0,0,1,0,0,0,0,2
ENSP00000353408,KOG3529,29,Ctenophora,MSN,0,0,1,0,0,0,1,18
ENSP00000353731,KOG2100,32,Amoebozoa,DPP4,0,0,1,1,0,0,1,2
ENSP00000353850,NOG008138,24,Ecdysozoa,ITGB1BP1,0,1,1,0,0,0,0,1
ENSP00000354040,KOG1490,32,Amoebozoa,GTPBP4,0,0,1,0,0,0,0,2
ENSP00000354416,NOG050347,17,Sauropsida,CCL28,1,0,1,0,0,0,0,8
ENSP00000354532,COG0005,31,Fungi,PNP,0,0,1,0,0,0,0,5
ENSP00000354558,KOG0891,32,Amoebozoa,MTOR,0,0,0,0,1,0,1,13
ENSP00000354566,NOG007967,19,Coelacanthimorpha,CD3E,0,0,1,0,0,0,0,24
ENSP00000355094,KOG1588,28,Porifera,QKI,0,0,0,0,1,0,0,2
ENSP00000355187,COG1552,32,Amoebozoa,LRRTM3,0,1,0,0,0,0,0,1
ENSP00000355361,NOG007370,16,Prototheria,CD47,0,0,1,0,0,0,1,14
ENSP00000355537,KOG0035,31,Fungi,ACTN2,0,1,1,0,0,0,0,8
ENSP00000355627,COG4826,27,Placozoa,AGT,0,1,0,1,0,0,1,17
ENSP00000355771,KOG1892,29,Ctenophora,AFDN,0,1,1,0,0,0,0,12
ENSP00000355866,COG2453,32,Amoebozoa,DUSP10,0,0,1,0,0,0,0,1
ENSP00000355896,KOG3900,28,Porifera,TGFB2,0,0,0,1,1,0,1,12
ENSP00000356319,KOG0245,31,Fungi,KIF14,0,0,1,0,0,0,1,6
ENSP00000356515,KOG4286,29,Ctenophora,UTRN,0,0,1,0,0,0,1,5
ENSP00000356574,KOG1731,30,Choanoflagellata,QSOX1,0,0,0,1,0,0,0,5
ENSP00000356792,KOG3544,32,Amoebozoa,XCL1,0,0,1,0,0,0,0,5
ENSP00000357005,KOG3515,28,Porifera,F11R,1,1,1,0,0,0,1,12
ENSP00000357288,KOG4107,31,Fungi,LAMTOR2,0,1,0,0,0,0,0,7
ENSP00000357392,KOG3858,26,Cnidaria,EFNA1,0,0,1,0,0,0,0,11
ENSP00000357470,NOG030656,21,Tunicata,IL6R,0,0,1,0,0,0,0,22
ENSP00000357564,KOG0078,32,Amoebozoa,RAB13,0,1,0,0,0,0,0,5
ENSP00000357721,COG0666,32,Amoebozoa,S100A8,0,0,1,0,0,0,0,8
