node,cog_id,root,clade_name,queryItem,cellular extravasation,cell junction organization,cell adhesion,extracellular matrix organization,epithelial to mesenchymal transition,regulation of metallopeptidase activity,metastasis suppressor
ENSP00000226730,NOG135432,14,Afrotheria,IL2,0,0,1,0,0,0,0
ENSP00000228463,NOG271421,10,Dermoptera,SELPLG,1,0,1,0,0,0,0
ENSP00000228534,NOG231450,17,Sauropsida,IL23A,0,0,1,0,0,0,0
ENSP00000228945,KOG3205,37,Metamonada,ARHGDIB,0,0,0,0,0,0,1
ENSP00000231228,NOG18085,19,Coelacanthimorpha,IL12B,0,0,1,0,0,0,0
ENSP00000231449,KOG3886,36,SAR,IL4,0,0,1,0,0,0,0
ENSP00000232003,NOG22864,20,Actinopterygii,HRG,0,1,1,0,0,0,0
ENSP00000233154,KOG4226,30,Choanoflagellata,NCK2,0,0,1,0,0,0,0
ENSP00000233809,NOG09907,21,Tunicata,IGFBP2,0,0,1,0,0,0,0
ENSP00000233997,COG5640,30,Choanoflagellata,AZU1,1,0,0,0,0,0,0
ENSP00000234347,COG5640,30,Choanoflagellata,PRTN3,1,1,0,0,0,0,0
ENSP00000235310,KOG3186,33,Viridiplantae,MAD2L2,0,0,1,0,1,0,0
ENSP00000236826,KOG1565,30,Choanoflagellata,MMP8,0,0,0,0,0,0,1
ENSP00000236850,NOG03742,20,Actinopterygii,APOA1,0,0,1,0,0,0,0
ENSP00000238682,KOG3900,29,Ctenophora,TGFB3,0,0,0,0,1,0,0
ENSP00000241261,NOG00756,23,Ambulacraria,TNFSF10,0,0,0,0,0,0,1
ENSP00000242057,KOG3560,28,Porifera,AHR,0,0,0,0,0,0,1
ENSP00000242159,KOG0489,29,Ctenophora,HOXA7,0,0,1,0,0,0,0
ENSP00000242261,KOG4447,26,Cnidaria,TWIST1,0,0,0,0,1,0,1
ENSP00000242728,KOG4304,29,Ctenophora,BHLHE41,0,0,0,0,0,0,1
ENSP00000243077,KOG1215,29,Ctenophora,LRP1,0,0,0,1,0,0,0
ENSP00000244050,KOG2462,28,Porifera,SNAI1,0,1,0,0,1,0,0
ENSP00000245451,KOG3900,29,Ctenophora,BMP4,0,0,1,0,0,0,1
ENSP00000246792,COG1100,37,Metamonada,RRAS,0,0,1,0,0,0,0
ENSP00000247470,NOG270365,20,Actinopterygii,PYCARD,0,0,1,0,0,0,0
ENSP00000249014,NOG17118,21,Tunicata,CDC42EP1,0,0,1,0,0,0,0
ENSP00000249071,COG1100,37,Metamonada,RAC2,0,0,1,0,0,0,0
ENSP00000250378,COG5640,30,Choanoflagellata,CMA1,0,0,0,1,0,0,0
ENSP00000250448,COG5025,36,SAR,FOXA1,0,0,0,0,1,0,0
ENSP00000250559,COG1100,37,Metamonada,RAP1B,0,1,0,0,0,0,0
ENSP00000252599,KOG4179,29,Ctenophora,COLGALT1,0,0,0,1,0,0,0
ENSP00000252699,COG5069,36,SAR,ACTN4,0,0,1,0,0,0,0
ENSP00000252804,KOG2408,33,Viridiplantae,PXDN,0,0,0,1,0,0,0
ENSP00000252999,KOG1836,37,Metamonada,LAMA5,0,0,1,0,0,0,0
ENSP00000253796,NOG29134,20,Actinopterygii,RAMP2,0,1,0,0,0,0,0
ENSP00000254066,KOG3575,29,Ctenophora,RARA,0,0,1,0,0,0,0
ENSP00000254301,KOG3587,27,Placozoa,LGALS3,0,0,1,0,0,0,0
ENSP00000254958,KOG1217,37,Metamonada,JAG1,0,0,1,0,0,0,0
ENSP00000255006,KOG2320,30,Choanoflagellata,RIN2,0,0,1,0,0,0,0
ENSP00000255688,NOG19818,23,Ambulacraria,RARRES3,0,0,0,0,0,0,1
ENSP00000256178,NOG256826,20,Actinopterygii,LYVE1,1,0,0,0,0,0,0
ENSP00000257189,KOG3594,30,Choanoflagellata,DSG3,0,1,0,0,0,0,0
ENSP00000257770,COG0737,31,Fungi,NT5E,0,0,1,0,0,0,0
ENSP00000258341,KOG1836,37,Metamonada,LAMC1,0,1,1,0,0,0,0
ENSP00000259206,NOG63872,20,Actinopterygii,IL1RN,0,0,1,0,0,0,0
ENSP00000259371,KOG3508,32,Amoebozoa,DAB2IP,0,0,0,0,1,0,0
ENSP00000259526,NOG239425,25,Spiralia,CCN3,0,0,1,0,0,0,0
ENSP00000259607,NOG271296,20,Actinopterygii,CCL21,1,0,1,0,0,0,0
ENSP00000260356,NOG258312,29,Ctenophora,THBS1,0,0,1,0,0,0,1
ENSP00000261023,KOG3637,30,Choanoflagellata,ITGAV,0,0,1,0,0,0,0
ENSP00000261313,COG1881,33,Viridiplantae,PEBP1,0,0,0,0,0,0,1
ENSP00000261590,KOG3594,30,Choanoflagellata,DSG2,0,1,0,0,1,0,0
ENSP00000261769,KOG3594,30,Choanoflagellata,CDH1,0,1,1,0,0,0,1
ENSP00000262158,KOG3701,29,Ctenophora,SMAD7,0,1,1,0,1,0,0
ENSP00000262304,KOG3599,30,Choanoflagellata,PKD1,0,0,0,0,0,0,1
ENSP00000262345,NOG02920,20,Actinopterygii,IL12RB2,0,0,1,0,0,0,0
ENSP00000262407,KOG3637,30,Choanoflagellata,ITGA2B,0,0,1,0,0,0,0
ENSP00000262768,KOG4745,28,Porifera,TIMP2,0,0,0,0,0,1,1
ENSP00000263212,COG0631,37,Metamonada,PPM1F,0,1,1,0,0,0,0
ENSP00000263253,COG5076,37,Metamonada,EP300,0,0,1,0,0,0,1
ENSP00000263341,NOG63872,20,Actinopterygii,IL1B,0,1,1,0,1,0,0
ENSP00000263645,KOG3882,30,Choanoflagellata,CD81,0,0,1,0,0,0,0
ENSP00000263686,KOG4297,30,Choanoflagellata,SELP,1,0,1,0,0,0,0
ENSP00000263710,KOG2956,30,Choanoflagellata,CLASP1,0,1,1,1,0,0,0
ENSP00000263923,KOG0200,30,Choanoflagellata,KDR,0,1,1,0,0,0,0
ENSP00000263946,KOG1048,30,Choanoflagellata,PKP1,0,0,1,0,0,0,0
ENSP00000264033,KOG1785,30,Choanoflagellata,CBL,0,0,1,0,0,0,0
ENSP00000264094,NOG04524,26,Cnidaria,LOXL3,0,0,1,0,0,0,0
ENSP00000264246,NOG28166,17,Sauropsida,CD80,0,0,1,0,0,0,0
ENSP00000264431,KOG3629,32,Amoebozoa,RAPGEF2,0,1,0,0,0,0,0
ENSP00000264436,COG0235,36,SAR,ADD2,1,0,1,0,0,0,0
ENSP00000264657,KOG3667,30,Choanoflagellata,STAT3,0,0,0,1,0,0,0
ENSP00000264710,KOG0078,37,Metamonada,RAB10,0,0,1,0,0,0,0
ENSP00000264731,NOG236267,28,Porifera,TP63,0,0,0,0,0,0,1
ENSP00000264832,NOG18285,20,Actinopterygii,ICAM1,1,0,1,0,0,0,0
ENSP00000264972,COG0515,37,Metamonada,ZAP70,0,0,1,0,0,0,0
ENSP00000265016,NOG21561,20,Actinopterygii,BST1,0,0,1,0,0,0,0
ENSP00000265165,KOG3248,29,Ctenophora,LEF1,0,0,0,0,1,0,0
ENSP00000265371,NOG06579,23,Ambulacraria,NRP1,0,1,1,0,0,0,0
ENSP00000265562,KOG2220,36,SAR,PTPN23,0,0,1,0,0,0,0
ENSP00000265734,KOG0594,37,Metamonada,CDK6,0,0,1,0,0,0,0
ENSP00000266085,KOG4745,28,Porifera,TIMP3,0,0,0,0,0,0,1
ENSP00000267082,KOG1226,30,Choanoflagellata,ITGB7,1,0,1,0,0,0,0
ENSP00000268603,KOG3594,30,Choanoflagellata,CDH11,0,1,1,0,0,0,0
ENSP00000268613,KOG3594,30,Choanoflagellata,CDH13,0,0,1,0,0,0,0
ENSP00000268638,NOG05020,22,Cephalochordata,IRF8,0,0,0,0,0,0,1
ENSP00000271638,NOG30694,20,Actinopterygii,S100A11,0,0,1,0,0,0,0
ENSP00000271688,COG5058,37,Metamonada,CERS2,0,0,0,0,0,0,1
ENSP00000273480,COG5194,37,Metamonada,RNF7,0,1,1,0,0,0,0
ENSP00000274063,KOG3577,29,Ctenophora,SFRP2,0,0,0,0,1,0,0
ENSP00000274376,KOG3508,32,Amoebozoa,RASA1,0,0,1,0,0,0,0
ENSP00000275815,COG0515,37,Metamonada,EPHA1,0,0,1,0,0,0,0
ENSP00000276297,KOG2200,30,Choanoflagellata,DLC1,0,1,1,0,0,0,1
ENSP00000276431,NOG11571,20,Actinopterygii,TNFRSF10B,0,0,0,0,0,0,1
ENSP00000276440,KOG1997,34,Discoba,DOCK5,0,0,1,0,0,0,0
ENSP00000278198,COG4886,37,Metamonada,LRRC4C,0,0,1,0,0,0,0
ENSP00000278927,NOG03235,22,Cephalochordata,ESAM,0,1,1,0,0,0,0
ENSP00000279227,KOG3727,29,Ctenophora,FERMT3,0,0,1,0,0,0,0
ENSP00000280357,NOG244842,17,Sauropsida,IL18,0,0,1,0,0,0,0
ENSP00000281821,COG0515,37,Metamonada,EPHA4,0,0,1,0,1,0,0
ENSP00000282020,KOG1052,28,Porifera,GRID2,0,1,0,0,0,0,0
ENSP00000282588,KOG3637,30,Choanoflagellata,ITGA1,0,0,1,0,0,0,0
ENSP00000283147,KOG3900,29,Ctenophora,BMP6,0,0,1,0,0,0,0
ENSP00000283228,COG5599,37,Metamonada,PTPRR,0,0,1,0,0,0,0
ENSP00000283249,KOG1226,30,Choanoflagellata,ITGB6,0,0,1,0,0,0,0
ENSP00000283285,NOG09769,17,Sauropsida,CD96,0,0,1,0,0,0,0
ENSP00000284240,NOG21071,20,Actinopterygii,THY1,1,1,1,0,0,0,0
ENSP00000284523,KOG3913,29,Ctenophora,WNT3A,0,1,0,0,0,0,0
ENSP00000284878,NOG03235,22,Cephalochordata,CXADR,0,0,0,0,0,0,1
ENSP00000284981,KOG4295,30,Choanoflagellata,APP,0,1,0,0,0,0,1
ENSP00000285018,KOG3913,29,Ctenophora,WNT7A,0,1,0,0,0,0,0
ENSP00000285407,KOG1721,37,Metamonada,KLF10,0,0,0,0,0,0,1
ENSP00000285735,COG1100,37,Metamonada,RHOC,0,1,0,0,0,0,0
ENSP00000286201,KOG3577,29,Ctenophora,FZD7,0,0,1,0,0,0,0
ENSP00000286301,KOG0200,30,Choanoflagellata,CSF1R,0,1,0,0,0,0,0
ENSP00000286760,NOG232978,23,Ambulacraria,WHAMM,0,1,1,0,0,0,0
ENSP00000286827,KOG3519,32,Amoebozoa,TIAM1,0,0,1,0,1,0,0
ENSP00000287139,KOG3900,29,Ctenophora,NODAL,0,0,1,0,0,0,0
ENSP00000287820,KOG3575,29,Ctenophora,PPARG,0,0,0,1,0,0,0
ENSP00000292408,KOG0200,30,Choanoflagellata,FGFR4,0,0,0,1,0,0,0
ENSP00000292513,KOG3656,30,Choanoflagellata,PTGER1,0,0,0,0,0,0,1
ENSP00000293373,KOG1917,30,Choanoflagellata,NCKAP1L,0,0,1,0,0,0,0
ENSP00000293379,KOG3637,30,Choanoflagellata,ITGA5,0,0,1,0,0,0,0
ENSP00000293549,KOG3913,29,Ctenophora,WNT1,0,0,1,0,0,0,0
ENSP00000294728,NOG258565,20,Actinopterygii,VCAM1,1,0,1,0,0,0,0
ENSP00000295522,NOG11150,20,Actinopterygii,CLDN1,0,1,0,0,0,0,1
ENSP00000295851,KOG2546,30,Choanoflagellata,ABI2,0,1,0,0,0,0,0
ENSP00000296181,KOG1226,30,Choanoflagellata,ITGB5,0,0,1,0,0,0,0
ENSP00000296387,NOG03763,21,Tunicata,CLDN19,0,0,1,0,0,0,0
ENSP00000296585,KOG3637,30,Choanoflagellata,ITGA2,0,0,1,0,0,0,1
ENSP00000296677,NOG02267,20,Actinopterygii,F2RL1,0,1,0,0,0,0,0
ENSP00000297268,KOG3544,34,Discoba,COL1A2,0,0,0,1,0,0,0
ENSP00000298552,NOG246585,29,Ctenophora,TSC1,0,1,1,0,0,0,0
ENSP00000299106,NOG05828,15,Metatheria,JAM3,1,1,1,0,0,0,0
ENSP00000300404,NOG05445,23,Ambulacraria,B4GALNT2,0,0,1,0,0,0,0
ENSP00000300574,KOG4792,30,Choanoflagellata,CRK,0,0,1,0,0,0,0
ENSP00000300738,COG0209,36,SAR,RRM1,0,0,0,0,0,0,1
ENSP00000301272,NOG250334,15,Metatheria,TMIGD2,0,0,1,0,0,0,0
ENSP00000301945,NOG04090,23,Ambulacraria,ANTXR1,0,0,1,0,0,0,0
ENSP00000302599,KOG2619,34,Discoba,FUT9,1,0,1,0,0,0,0
ENSP00000302621,COG4886,37,Metamonada,LRG1,0,0,1,0,1,0,0
ENSP00000302625,KOG3589,32,Amoebozoa,AXIN2,0,0,0,0,1,0,0
ENSP00000302846,KOG3656,30,Choanoflagellata,PTGER4,1,0,0,0,0,0,0
ENSP00000303231,NOG33393,17,Sauropsida,IL12A,0,0,1,0,0,0,0
ENSP00000303507,KOG4269,32,Amoebozoa,BCR,0,1,1,0,0,0,0
ENSP00000304283,COG1100,37,Metamonada,RAC3,0,0,1,0,0,0,0
ENSP00000304408,KOG3544,34,Discoba,COL3A1,0,0,1,1,0,0,0
ENSP00000304895,NOG06917,24,Ecdysozoa,IRS1,0,0,0,0,0,0,1
ENSP00000305529,NOG22260,20,Actinopterygii,SIRPG,0,0,1,0,0,0,0
ENSP00000305603,KOG2619,34,Discoba,FUT3,0,0,1,0,0,0,0
ENSP00000306099,KOG2579,24,Ecdysozoa,FGB,0,0,1,0,0,0,0
ENSP00000306330,COG5040,37,Metamonada,YWHAG,0,0,1,0,0,0,0
ENSP00000306864,COG4886,37,Metamonada,VASN,0,0,0,0,1,0,0
ENSP00000307959,COG5069,36,SAR,DST,0,1,0,0,0,0,0
ENSP00000308576,COG1100,37,Metamonada,RHOD,0,1,1,0,0,0,0
ENSP00000308753,KOG3735,30,Choanoflagellata,TMOD3,0,0,1,0,0,0,0
ENSP00000308938,COG5640,30,Choanoflagellata,PLG,0,0,1,0,0,0,1
ENSP00000309591,KOG0616,37,Metamonada,PRKACA,0,1,0,0,0,0,0
ENSP00000309953,KOG1217,37,Metamonada,EFEMP2,0,0,1,1,0,0,0
ENSP00000309968,KOG3658,30,Choanoflagellata,ADAM17,0,0,1,0,0,0,0
ENSP00000310094,KOG0577,30,Choanoflagellata,TAOK2,0,1,1,0,0,0,0
ENSP00000310448,KOG2217,33,Viridiplantae,SART1,0,0,1,0,0,0,0
ENSP00000311005,KOG0660,37,Metamonada,MAPK7,0,0,1,0,0,0,0
ENSP00000311032,KOG3573,29,Ctenophora,CASP3,0,0,0,0,0,0,1
ENSP00000312002,NOG26156,20,Actinopterygii,HAVCR2,0,0,1,0,0,0,0
ENSP00000312021,NOG24221,19,Coelacanthimorpha,FUT1,0,0,1,0,0,0,0
ENSP00000312652,NOG28618,19,Coelacanthimorpha,LEP,0,0,1,0,0,0,0
ENSP00000312999,KOG0082,34,Discoba,GNAI2,0,0,0,0,0,0,1
ENSP00000313169,NOG06300,28,Porifera,NPHP1,0,1,0,0,0,0,0
ENSP00000313391,KOG3535,29,Ctenophora,DAB2,0,0,0,0,1,0,0
ENSP00000313875,NOG257694,14,Afrotheria,CD46,0,0,1,0,0,0,0
ENSP00000313921,COG0225,37,Metamonada,MSRA,0,0,0,0,0,0,1
ENSP00000314067,KOG0578,37,Metamonada,PAK2,0,1,0,0,0,0,0
ENSP00000315130,NOG00771,20,Actinopterygii,CLU,0,0,0,0,0,0,1
ENSP00000315477,KOG4297,30,Choanoflagellata,CD209,0,0,1,0,0,0,0
ENSP00000315997,NOG15898,18,Amphibia,LILRB1,0,0,1,0,0,0,0
ENSP00000316338,NOG06845,22,Cephalochordata,BAIAP2,0,0,1,0,0,0,0
ENSP00000316779,KOG3771,32,Amoebozoa,BIN1,0,0,0,0,0,0,1
ENSP00000317891,NOG246177,23,Ambulacraria,TNIP1,0,0,1,0,0,0,0
ENSP00000317985,COG0515,37,Metamonada,ROCK2,0,1,0,0,0,0,0
ENSP00000318142,KOG2619,34,Discoba,FUT7,1,0,1,0,0,0,0
ENSP00000320147,COG2940,37,Metamonada,EZH2,0,0,0,0,1,0,0
ENSP00000320866,KOG0674,34,Discoba,CALR,0,0,1,0,0,0,0
ENSP00000321326,NOG258820,20,Actinopterygii,F2R,0,1,0,0,0,0,0
ENSP00000321345,NOG248765,20,Actinopterygii,IL23R,0,0,1,0,0,0,0
ENSP00000321606,COG0044,35,Rhodophyta,CRMP1,0,0,0,0,0,0,1
ENSP00000323280,NOG259005,20,Actinopterygii,CD6,0,0,1,0,0,0,0
ENSP00000323856,COG5069,36,SAR,PLEC,0,1,0,0,0,0,0
ENSP00000324806,COG0515,37,Metamonada,GSK3B,0,0,1,0,1,0,0
ENSP00000324890,NOG18533,20,Actinopterygii,CD28,0,0,1,0,0,0,0
ENSP00000325527,KOG1217,37,Metamonada,FBN1,0,0,1,0,0,0,0
ENSP00000326031,COG0639,37,Metamonada,PPP1CA,0,0,1,0,0,0,0
ENSP00000327251,COG0369,37,Metamonada,NOS2,0,0,0,0,0,0,1
ENSP00000327290,KOG3637,30,Choanoflagellata,ITGA11,0,0,1,0,0,0,0
ENSP00000327801,COG0526,37,Metamonada,P4HB,0,0,1,0,0,0,0
ENSP00000328777,KOG3858,24,Ecdysozoa,EFNA5,0,1,1,0,0,0,0
ENSP00000329127,KOG0694,32,Amoebozoa,PRKCH,0,1,0,0,0,0,0
ENSP00000329715,COG1163,37,Metamonada,DRG1,0,0,0,0,0,0,1
ENSP00000329797,NOG10515,20,Actinopterygii,CADM1,0,0,0,0,0,0,1
ENSP00000329991,NOG61523,18,Amphibia,IFNL1,0,0,1,0,0,0,0
ENSP00000330382,NOG23958,20,Actinopterygii,PDGFB,0,0,1,0,0,0,0
ENSP00000331544,KOG1217,37,Metamonada,FBLN1,0,0,1,0,0,0,0
ENSP00000331678,KOG1048,30,Choanoflagellata,PKP3,0,1,1,0,0,0,0
ENSP00000331682,KOG4441,36,SAR,KLHL22,0,0,1,0,0,0,0
ENSP00000331736,KOG4297,30,Choanoflagellata,SELE,1,0,1,0,0,0,0
ENSP00000331746,NOG269657,20,Actinopterygii,CALCA,0,0,1,0,0,0,0
ENSP00000331983,KOG4242,24,Ecdysozoa,CARMIL1,0,0,1,0,0,0,0
ENSP00000332118,COG0515,37,Metamonada,EPHB3,0,0,1,0,0,0,1
ENSP00000332973,KOG3701,29,Ctenophora,SMAD3,0,0,0,1,1,0,0
ENSP00000333919,NOG33216,14,Afrotheria,BTLA,0,0,1,0,0,0,0
ENSP00000334008,KOG3631,30,Choanoflagellata,PARVA,0,0,1,0,0,0,0
ENSP00000335062,NOG246954,17,Sauropsida,PDCD1,0,0,1,0,0,0,0
ENSP00000335074,NOG253091,15,Metatheria,GHRL,0,1,0,0,0,0,0
ENSP00000336800,KOG4441,36,SAR,KLHL25,0,0,1,0,0,0,0
ENSP00000336829,KOG2579,24,Ecdysozoa,FGG,0,0,1,0,0,0,0
ENSP00000337060,COG0105,37,Metamonada,NME1,0,0,0,0,0,0,1
ENSP00000337451,COG0515,37,Metamonada,EPHA3,0,1,1,0,0,0,0
ENSP00000337907,COG0194,37,Metamonada,MPP7,0,1,0,0,0,0,0
ENSP00000338171,NOG08024,23,Ambulacraria,SKAP1,0,0,1,0,0,0,0
ENSP00000338967,KOG2710,31,Fungi,ARHGAP6,0,1,1,0,0,0,0
ENSP00000339145,KOG3911,37,Metamonada,RRP1B,0,0,0,0,0,0,1
ENSP00000339191,NOG06801,24,Ecdysozoa,CAV1,0,0,1,0,0,0,0
ENSP00000339328,NOG24490,20,Actinopterygii,PLAUR,0,0,1,1,0,0,0
ENSP00000339467,COG1100,37,Metamonada,RHOG,0,1,0,0,0,0,0
ENSP00000339730,NOG258312,29,Ctenophora,THBS4,0,0,1,0,0,0,0
ENSP00000340330,COG5027,37,Metamonada,KAT5,0,0,1,0,0,0,0
ENSP00000340989,COG5040,37,Metamonada,SFN,0,0,1,0,0,0,0
ENSP00000341189,KOG4257,30,Choanoflagellata,PTK2,0,1,1,0,1,0,0
ENSP00000341208,KOG3667,30,Choanoflagellata,STAT5A,0,0,1,0,0,0,0
ENSP00000341551,KOG3701,29,Ctenophora,SMAD4,0,0,0,1,0,0,1
ENSP00000341785,COG1272,36,SAR,ADIPOR1,0,0,0,0,1,0,0
ENSP00000341905,KOG3508,32,Amoebozoa,RASAL3,0,0,1,0,0,0,0
ENSP00000342114,NOG18285,20,Actinopterygii,ICAM4,0,0,1,0,0,0,0
ENSP00000342307,COG5025,36,SAR,FOXM1,0,0,0,0,1,0,0
ENSP00000342609,KOG2329,33,Viridiplantae,ACER2,0,0,1,0,0,0,0
ENSP00000342858,KOG3727,29,Ctenophora,FERMT2,0,1,1,0,1,0,0
ENSP00000343129,NOG259342,18,Amphibia,TRIM29,0,0,1,0,0,0,0
ENSP00000343158,KOG3530,30,Choanoflagellata,EPB41L3,0,0,0,0,0,0,1
ENSP00000343690,COG0044,35,Rhodophyta,DPYSL3,0,0,0,0,0,0,1
ENSP00000344666,KOG3529,30,Choanoflagellata,NF2,0,0,1,0,0,0,0
ENSP00000345008,KOG1217,37,Metamonada,FBLN5,0,0,0,1,0,0,0
ENSP00000345347,COG5648,36,SAR,HMGB1,0,0,1,0,0,0,0
ENSP00000345731,COG0194,37,Metamonada,DLG1,0,1,0,0,0,0,0
ENSP00000346032,KOG0819,33,Viridiplantae,ANXA2,0,0,1,0,0,0,0
ENSP00000346148,KOG0583,37,Metamonada,PRKAA1,0,0,1,0,0,0,0
ENSP00000346300,KOG4792,30,Choanoflagellata,CRKL,0,0,1,0,0,0,0
ENSP00000346671,COG0515,37,Metamonada,FYN,0,0,1,0,0,0,0
ENSP00000346839,NOG00382,23,Ambulacraria,FN1,0,0,1,0,0,0,0
ENSP00000347379,NOG230762,20,Actinopterygii,OCLN,0,1,0,0,0,0,0
ENSP00000347427,KOG0587,30,Choanoflagellata,MINK1,0,0,1,0,0,0,0
ENSP00000347948,NOG270091,14,Afrotheria,TNFRSF14,0,0,1,0,0,0,0
ENSP00000348461,COG1100,37,Metamonada,RAC1,0,1,1,0,0,0,0
ENSP00000348635,NOG277541,20,Actinopterygii,JAML,1,0,0,0,0,0,0
ENSP00000349003,KOG3656,30,Choanoflagellata,PTGER3,0,0,0,0,0,0,1
ENSP00000349252,KOG3637,30,Choanoflagellata,ITGAL,1,0,1,0,0,0,0
ENSP00000349436,KOG3607,31,Fungi,ADAM15,0,0,1,0,0,0,0
ENSP00000349446,COG0010,34,Discoba,ARG1,0,0,1,0,0,0,0
ENSP00000350425,NOG03742,20,Actinopterygii,APOA4,0,0,1,0,0,0,0
ENSP00000350844,KOG0849,31,Fungi,PAX5,0,0,0,0,0,0,1
ENSP00000351209,COG0515,37,Metamonada,EPHA2,0,1,0,0,0,0,0
ENSP00000351273,KOG3573,29,Ctenophora,CASP8,0,0,0,0,0,0,1
ENSP00000351602,KOG2619,34,Discoba,FUT4,0,0,1,0,0,0,0
ENSP00000351905,COG0515,37,Metamonada,TGFBR2,0,0,1,0,1,0,0
ENSP00000352138,KOG3510,30,Choanoflagellata,KIRREL1,0,1,0,0,0,0,0
ENSP00000352420,NOG03212,22,Cephalochordata,LDLRAD4,0,0,0,0,1,0,0
ENSP00000352833,COG5599,37,Metamonada,PTPN22,0,0,1,0,0,0,0
ENSP00000353099,NOG15725,20,Actinopterygii,HLA-DRB1,0,0,1,0,0,0,0
ENSP00000353259,NOG31937,20,Actinopterygii,CD300A,0,0,1,0,0,0,0
ENSP00000353408,KOG3529,30,Choanoflagellata,MSN,0,0,1,0,0,0,0
ENSP00000353731,COG1506,37,Metamonada,DPP4,0,0,1,1,0,0,0
ENSP00000353850,NOG03534,23,Ambulacraria,ITGB1BP1,0,1,1,0,0,0,0
ENSP00000354040,COG1084,37,Metamonada,GTPBP4,0,0,1,0,0,0,0
ENSP00000354416,NOG66960,17,Sauropsida,CCL28,1,0,1,0,0,0,0
ENSP00000354532,COG0005,37,Metamonada,PNP,0,0,1,0,0,0,0
ENSP00000354558,COG5032,37,Metamonada,MTOR,0,0,0,0,1,0,0
ENSP00000354566,NOG33424,20,Actinopterygii,CD3E,0,0,1,0,0,0,0
ENSP00000354923,COG5069,36,SAR,DMD,0,0,0,0,0,0,1
ENSP00000355094,COG5176,36,SAR,QKI,0,0,0,0,1,0,0
ENSP00000355361,NOG16609,17,Sauropsida,CD47,0,0,1,0,0,0,0
ENSP00000355627,COG4826,28,Porifera,AGT,0,1,0,1,0,0,0
ENSP00000355652,COG1100,37,Metamonada,RHOU,0,1,0,0,0,0,0
ENSP00000355896,KOG3900,29,Ctenophora,TGFB2,0,0,0,1,1,0,0
ENSP00000356319,COG5059,37,Metamonada,KIF14,0,0,1,0,0,0,0
